#{"t_start": 1769420606.105361, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-2.457505,19,1.337955
-6.043025,12,1.386459
3.217077,17,1.463509
5.261822,26,1.544348
-1.459286,25,1.622836
1.602246,20,1.677778
-1.09102,16,1.733811
5.758951,25,1.812208
5.049595,15,1.859244
1.992147,18,1.920022
2.27929,17,1.967216
6.640456,35,2.078479
-1.357483,13,3.844464
-2.689426,7,3.869535
-0.933043,11,3.899371
5.475334,38,4.031249
1.146916,19,4.102127
8.738958,24,4.167378
-1.715246,23,4.230609
18.508028,35,4.319108
-2.289279,13,4.360234
-0.583053,18,4.410497
8.179018,32,4.508909
3.423149,23,4.582391
9.41568,24,6.254117
48.255344,75,6.496216
17.979143,38,6.638104
-3.047491,12,6.692302
1.30003,17,6.756962
12.947114,37,6.901002
18.485093,32,7.030313
9.508516,37,9.209508
13.641707,55,9.421074
15.701906,85,9.744012
13.459473,35,9.878665
39.007976,53,10.084561
21.702173,43,12.340763
130.890572,131,12.821197
238.573485,174,15.541167
301.244662,203,18.359761
52.330207,70,18.642785
362.830746,282,21.78149
42.12892,118,22.272494
319.271945,335,27.650563
450.81845,500,33.68011
316.436324,180,34.427619
292.863043,201,37.288555
448.751861,373,43.075215
169.345345,91,43.475806
214.578723,119,43.966213
440.488367,333,49.504225
263.502976,175,50.236696
338.242093,194,53.154258
271.946739,152,55.944931
226.519557,147,56.562022
269.705886,177,59.341571
311.116421,186,62.171487
230.626026,151,62.705926
200.603125,116,65.072888
348.68625,181,67.961349
307.197651,178,68.695421
429.697926,282,72.004541
186.763525,100,74.805874
348.446582,204,75.721415
398.634399,225,78.884151
339.672612,182,81.773516
270.779248,130,84.448939
388.972759,225,85.314895
344.046024,182,88.117139
330.760398,157,90.597518
384.31139,223,93.85204
388.82865,191,94.622018
310.251288,160,97.207922
401.391301,203,100.523686
344.549764,174,103.402291
253.378703,114,103.900566
371.101307,181,106.663355
294.757944,144,107.278814
359.127345,180,109.966614
68.596474,136,110.576731
375.581535,170,113.64326
227.394643,103,116.227227
318.752244,142,116.703282
286.76678,134,119.269799
319.096321,155,120.372856
328.097654,153,122.852352
364.255255,157,123.475271
289.691041,132,126.137297
409.481607,211,129.55966
362.275261,150,130.269921
262.040574,137,133.160165
319.780108,167,136.210648
391.463597,173,137.019496
318.942202,144,139.814771
295.456189,130,140.388946
249.081013,123,143.200998
409.755626,185,143.905147
369.969855,162,146.888514
382.138143,162,149.747661
448.59744,204,152.835027
392.934895,179,153.613591
381.494022,170,156.636472
342.32937,144,157.236942
366.145689,163,160.193811
397.102353,176,163.076059
361.475348,147,163.652844
