#{"t_start": 1769351103.3691142, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-5.203726,17,2.005362
-1.377048,10,2.063572
-5.132389,16,2.136615
-0.539968,17,2.214631
-2.690543,22,2.306413
-2.429015,22,2.402389
-7.424115,17,2.466375
-1.142258,16,2.519247
13.777587,30,2.612713
0.370413,13,2.653571
0.896506,29,2.766627
-4.700136,26,2.864917
-4.167569,29,2.965458
2.990871,15,3.035666
-4.779141,14,3.092306
-1.051507,10,3.123216
-3.049996,11,3.155769
-2.175617,24,3.230347
-8.337339,18,3.284019
7.05524,19,3.339246
5.349521,18,3.393253
-6.508163,12,3.428606
0.062712,14,3.46958
-6.729803,15,3.516905
-0.206793,12,3.572056
4.575915,32,3.720312
-1.614116,11,3.780836
3.470572,15,3.872581
-4.431819,31,3.981524
-6.084503,13,4.039729
-5.190064,13,4.083639
1.890675,14,4.130947
-3.82178,28,4.223435
-2.278787,9,4.250819
-0.290973,11,4.283648
-0.901264,32,4.379529
-4.744276,16,4.426498
0.572799,14,4.469639
-0.477639,13,4.507932
-4.986027,15,4.552983
7.350214,34,4.655442
11.503998,33,4.751519
1.414302,22,4.815147
-0.131657,13,4.853289
-0.012147,19,4.907847
4.456107,17,4.958735
8.393903,27,5.040271
-5.967751,18,5.096416
3.084089,20,5.158469
-2.384129,10,5.188747
-4.256184,16,5.236541
-0.254465,12,5.27285
-0.624,18,5.326787
5.132521,18,5.379425
-2.517799,12,5.414738
1.58473,20,5.520316
-12.556255,16,5.595742
27.323002,47,5.780656
-3.048241,9,5.806863
-9.530228,21,5.869759
-6.593202,9,5.899125
-2.421674,13,5.951967
-13.469482,21,6.031445
7.933459,47,6.189716
-4.021335,15,6.235771
3.159294,18,6.287426
-0.702656,10,6.319868
-0.372199,14,6.364108
-2.295155,21,6.428271
-4.735935,28,6.510869
-6.8572,20,6.57153
-2.355024,8,6.595602
5.345872,31,6.708811
-3.030924,12,6.771429
-3.356377,9,6.7995
-4.399404,19,6.854428
-2.389692,25,6.926974
-8.342061,21,6.989522
-3.57517,11,7.022952
-2.697125,9,7.060777
6.712415,21,7.162396
0.063882,32,7.3095
2.096477,14,7.350813
-3.587333,11,7.382904
-0.711483,21,7.443156
5.744679,31,7.555246
-2.00924,19,7.632877
-3.105958,25,7.720609
-0.943147,9,7.748208
-2.522865,15,7.792367
8.22778,28,7.872933
-6.304143,17,7.921801
0.670545,33,8.075821
-0.069828,16,8.1348
-6.271818,13,8.182341
5.889525,20,8.267301
-0.746821,12,8.306831
0.996201,27,8.407654
-0.546485,25,8.504284
1.937058,16,8.551016
-3.020002,10,8.581552
-7.320907,11,8.614583
-1.936007,14,8.65557
-4.313652,14,8.698418
-0.819641,16,8.746052
-1.447704,19,8.801903
2.085007,16,8.848908
-2.41974,8,8.872097
-1.234853,11,8.904397
-1.902917,18,8.957525
5.131748,20,9.017436
-4.709482,8,9.040669
4.2141,21,23.570655
-0.780592,37,23.699249
-6.820494,19,23.763791
7.00037,25,23.840438
0.767584,30,23.933636
-4.535781,15,23.981566
2.996962,18,24.037887
5.263344,21,24.121817
-4.787872,20,24.201547
5.269085,30,24.301857
13.241515,33,24.409272
8.385643,43,24.547104
11.509918,24,24.617792
4.447107,18,24.673815
0.800387,20,24.738866
10.595424,23,24.828641
3.51155,17,24.900452
-3.147362,9,24.934729
-2.573415,13,24.988406
21.548232,39,25.147738
-0.330978,16,25.226489
-0.152281,20,25.31582
-3.803769,11,25.376131
11.401926,26,25.550167
1.180578,13,25.61681
0.970261,16,25.728691
7.634644,37,25.89033
-2.229099,9,25.937339
-3.32342,30,26.05869
34.435344,47,26.283326
11.489753,25,26.378121
11.614956,27,26.482525
5.823642,32,26.592701
18.55038,35,26.701807
-11.952011,19,26.759546
6.215476,23,26.832782
5.591808,37,26.966924
11.391858,67,27.255775
7.427657,24,27.332072
2.470399,35,27.445883
11.320859,36,27.562576
21.2553,35,27.687418
-9.88158,13,27.763676
3.71902,15,27.813699
0.999318,15,27.86114
8.953944,21,27.925802
5.460071,25,28.005491
-2.726942,11,28.038885
3.894096,16,28.087815
-2.614419,30,28.186953
3.517767,25,28.275578
4.783475,22,28.383596
12.576584,27,28.52403
3.800651,42,28.815967
-5.449213,12,28.90822
-0.991223,17,29.065314
2.421008,14,29.190396
2.860444,14,29.257786
-6.679498,21,29.351843
-0.679864,11,29.399547
-3.102082,18,29.467631
-2.239334,20,29.537627
-2.910173,18,29.597818
-2.691623,17,29.652799
1.607202,12,29.69016
2.407824,15,29.737479
-5.472103,17,29.790059
1.293086,12,29.840055
0.419545,15,29.918166
1.30011,11,29.970336
0.553248,24,30.078316
6.081072,24,30.156554
-3.730775,9,30.199324
-3.728369,23,30.303648
3.448401,26,30.46502
5.353817,36,30.643032
4.626802,31,30.783266
6.285786,31,30.915563
-2.115207,12,31.002866
32.075661,52,31.223854
13.132855,28,31.383232
5.292892,20,31.46071
-7.087461,20,31.533772
10.286422,21,31.604212
3.687558,17,31.6629
-1.275139,11,31.703199
-0.382709,13,31.748733
9.644087,25,31.831641
13.976068,28,47.363572
5.223761,33,47.523302
6.82455,40,47.660958
-2.484669,24,47.770415
7.75809,29,47.88266
6.172038,26,47.98991
15.300292,69,48.260921
35.728159,70,48.519802
14.657302,33,48.629349
20.915614,35,48.753234
-2.103422,14,48.796814
6.949095,19,48.854396
6.707335,18,48.911306
12.51042,28,48.999818
10.92948,36,49.124637
1.878214,13,49.165064
102.043949,128,49.659575
20.440421,47,49.838613
-5.376477,24,49.929001
15.722578,29,50.024529
19.030083,48,50.209482
5.328662,21,50.271313
16.27462,26,50.348739
1.551581,18,50.40349
16.97272,34,50.506282
10.841101,56,50.689789
10.537405,35,50.818012
1.534809,14,50.867225
6.43154,32,50.986882
14.4873,34,51.16477
0.043982,25,51.270459
0.792429,11,51.308644
19.082143,33,51.419154
10.512949,29,51.517766
25.14894,82,51.844021
-0.499039,24,51.949962
-1.093333,26,52.046932
3.05497,19,52.151129
-0.436382,15,52.225085
0.702565,12,52.304107
4.067033,27,52.442225
19.749021,65,52.796347
20.124727,44,52.951663
61.785859,127,53.501164
16.042142,41,53.630694
2.714036,16,53.69234
0.834907,12,53.756823
7.441148,43,53.926004
4.475654,17,53.999628
21.402008,46,54.156738
19.700316,34,54.261986
1.562374,14,54.306983
0.640929,18,54.362237
16.974668,34,54.467211
