#{"t_start": 1769358938.4865208, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-3.341053,8,5.855175
-12.510346,19,5.913002
17.682707,34,6.018355
-3.932556,11,6.067855
-2.974474,13,6.108795
-7.678016,21,6.172946
-5.473812,12,6.210236
-4.062642,16,6.26246
6.900281,17,6.314365
-5.798543,9,6.342045
-16.966162,17,6.395057
10.073192,32,6.494845
3.625209,27,6.575217
1.295787,22,6.64227
-3.685829,9,6.669023
-4.169569,11,6.703056
12.434618,44,6.831687
-0.860845,14,6.874383
-4.651835,16,6.921731
6.644595,19,6.978724
0.472477,14,7.020919
1.29986,18,7.084459
7.783265,32,7.184911
-4.170283,8,7.210097
-9.863098,21,7.277017
-0.631797,15,7.320559
-4.934568,21,7.38142
0.889492,28,7.466126
-5.473436,12,7.502366
0.006822,24,7.574273
-1.987542,16,7.622962
33.563031,54,7.786816
2.239651,14,7.828553
-6.541473,9,7.855278
-9.290255,19,7.913013
-4.791169,17,7.963389
-2.730634,12,7.999696
-2.505825,12,8.03779
0.995847,22,8.106132
-1.536784,15,8.164073
-1.085427,12,8.19951
1.934058,26,8.283955
21.66473,45,8.420921
-4.720468,9,8.448999
-5.017417,11,8.497665
-4.434484,17,8.554907
-13.038656,13,8.594103
-1.696159,28,8.679993
0.563937,15,8.724946
-4.240917,16,8.772324
-6.077949,20,8.83156
-1.829402,21,8.894075
-1.096064,13,8.932473
3.383969,24,9.004994
-2.839551,9,9.031487
1.017306,24,9.104065
-1.66129,11,9.140828
2.532559,30,9.252227
-6.417059,12,9.295742
0.77983,12,9.354618
3.460707,13,9.411907
1.904559,16,9.461945
8.802478,27,9.542279
3.651668,16,9.600534
-0.364994,21,9.666091
-3.547215,12,9.707286
7.142197,41,9.830517
-1.643454,24,9.90325
1.945938,16,9.950952
-4.698397,30,10.042669
-0.575502,23,10.113867
2.935524,13,10.153848
-3.318666,21,10.234099
-6.761237,11,10.266898
-3.966685,11,10.300892
-0.342021,19,10.357341
-2.237566,11,10.390054
-0.984883,16,10.440603
-4.625139,12,10.476204
-8.167077,16,10.523807
3.509326,20,10.583556
-5.838312,14,10.62605
-2.248581,16,10.674382
-0.404822,24,10.745633
-3.099102,15,10.79021
2.918917,12,10.824924
-0.294473,31,10.921567
-11.590723,16,10.96853
-2.665896,12,11.004397
-4.994253,17,11.056392
5.60565,24,11.129059
-1.433552,16,11.176584
17.539546,36,11.307979
-0.662759,25,11.381564
0.53822,21,11.486866
-6.306201,24,11.60402
-0.626956,29,11.741369
3.400516,15,11.808815
2.026931,13,11.872551
3.990682,17,11.950891
-3.260483,12,12.006534
-6.564582,20,12.10153
-3.5507,30,12.243969
-1.708358,18,12.348565
-4.795782,13,12.409908
-3.732092,10,12.455212
-6.999698,24,12.562821
-4.053566,9,12.602216
18.73258,28,30.768179
17.36627,32,30.867392
-2.499039,15,30.913059
-1.621821,8,30.937551
2.846563,27,31.018425
-1.396351,11,31.052781
1.170852,19,31.112436
10.916388,33,31.238008
13.773627,40,31.365222
-0.560234,19,31.423615
1.466124,14,31.465286
-1.1915,10,31.49667
-4.297505,15,31.541412
0.269919,13,31.580619
1.83319,25,31.656699
1.459484,16,31.706799
40.215032,58,31.884236
28.967822,68,32.090014
-1.871571,8,32.115868
0.285308,13,32.157213
-4.071947,14,32.201
-7.206506,12,32.258255
1.129017,21,32.324682
2.214025,21,32.387614
-2.618167,10,32.419624
1.523204,16,32.468869
-2.87068,13,32.508943
4.86784,18,32.562391
4.402384,21,32.626045
2.019218,23,32.69601
-2.342524,8,32.72061
4.660966,19,32.779191
-2.060828,18,32.832828
12.875619,26,32.911641
-2.315452,23,32.980652
-2.301446,20,33.041907
-7.840172,18,33.095494
-0.801374,13,33.136609
-1.540151,9,33.164677
-4.991896,11,33.197106
12.658242,48,33.363914
-3.523557,18,33.417234
4.145113,32,33.51455
4.667325,40,33.633813
8.806523,34,33.741422
9.091351,35,33.84651
-6.396457,10,33.876467
-1.189485,23,33.947428
0.693033,19,34.003773
5.981566,37,34.123445
2.479396,15,34.173778
3.880913,20,34.236523
1.191914,17,34.290388
12.31352,41,34.438075
5.934266,19,34.497863
12.253247,33,34.598653
-1.751625,10,34.631063
15.209471,28,34.71689
25.237151,45,34.85319
-2.342117,20,34.913402
11.820117,41,35.036566
2.279482,16,35.083986
5.686012,28,35.170124
17.969234,36,35.283274
-3.424804,10,35.315401
2.002438,17,35.383449
2.745461,47,35.537131
