#{"t_start": 1768469827.2693357, "env_id": "CustomWalker2d-source-v0"}
r,l,t
2.957028,27,2.196748
5.934661,25,2.34315
0.269032,25,2.463638
-6.979751,9,2.494006
-9.957847,15,2.542898
3.640091,31,2.671567
-14.18948,22,2.758901
-5.981768,17,2.816672
-3.887373,10,2.851175
-3.982752,10,2.889339
-6.501379,18,2.95721
-5.614795,10,3.000725
-8.748688,16,3.0582
-9.753244,33,3.180413
-3.721494,17,3.23825
-4.641348,8,3.265524
-0.72555,14,3.320259
-8.777242,17,3.386007
-3.721589,9,3.416399
-3.411732,18,3.478144
-15.448711,26,3.572075
4.600759,27,3.67123
-5.88546,13,3.726243
-2.548525,11,3.763296
2.812294,14,3.80905
-11.807946,18,3.873819
0.763455,23,3.961145
-12.943247,34,4.083094
-7.260295,31,4.203158
-3.13357,10,4.242176
-4.296281,10,4.285205
2.258065,15,4.353901
-6.398865,9,4.398997
-0.202915,20,4.521805
-6.447508,20,4.629695
-4.213288,13,4.678329
1.558205,15,4.755134
-2.443115,22,4.868419
-4.603661,25,4.967525
-3.031714,19,5.03193
-4.958093,15,5.087935
-8.350781,9,5.124857
-9.5282,18,5.185801
-11.640925,17,5.246351
-5.642634,14,5.299214
-3.682253,15,5.35749
-8.308107,27,5.471863
1.931615,14,5.518764
-5.801488,30,5.630652
-2.016469,27,5.738749
-5.391972,13,5.780923
-12.739633,16,5.833877
-11.342749,19,5.901418
-14.179237,20,5.969586
-4.799213,19,6.032709
13.788634,28,6.125185
-11.674956,18,6.186821
-2.548338,30,6.29278
-0.678874,15,6.349037
-0.105428,17,6.410923
-3.680973,31,6.516348
4.96556,19,6.581056
11.470687,62,6.850443
-4.635074,21,6.970456
-4.040699,9,7.001615
-4.339806,10,7.035398
-2.701955,19,7.136271
12.326863,37,7.266564
-3.569796,10,7.300871
-2.650709,14,7.353962
-3.576686,19,7.436279
-12.583445,18,7.49557
-11.732956,20,7.566355
-16.208347,15,7.616838
-4.623413,20,7.682449
-8.709773,16,7.736129
-3.593472,18,7.803336
-5.116504,10,7.83737
-3.292382,14,7.883276
-8.078249,11,7.926211
-5.005678,15,7.990471
-5.353136,16,8.041944
-8.483034,10,8.083842
-6.697912,18,8.176368
-2.632236,13,8.218469
0.223313,18,8.27715
-4.364988,13,8.320814
-6.088535,17,8.378066
-4.357267,15,8.437074
-2.85622,18,8.494461
-4.759844,27,8.599154
-4.359303,14,8.64481
-5.315542,12,8.696704
-14.29349,14,8.747408
-5.861113,18,8.807401
1.076687,19,8.886622
-3.658758,14,8.942181
3.860758,24,9.0897
-1.378893,24,9.290215
-6.085562,10,9.352386
-3.490463,14,9.418943
-8.276644,21,9.532859
2.340544,19,9.640467
-12.280095,20,9.752845
-3.666034,18,9.852568
1.56855,17,9.936619
-3.95771,20,10.035453
-3.794531,15,10.10718
-8.004231,20,10.2095
-4.097063,14,10.259054
-2.400056,19,10.333505
-3.888946,13,10.385341
-2.358843,36,16.798107
0.745728,14,16.848701
1.054033,13,16.903913
15.920319,27,16.997679
-6.851551,16,17.064121
5.391776,28,17.166597
0.193527,16,17.217754
-0.050675,18,17.28275
-4.584726,19,17.36958
-8.640021,11,17.413642
-2.69116,17,17.472022
16.51285,38,17.602818
-0.791635,27,17.717968
-5.022702,28,17.816005
4.65441,49,17.994163
0.43417,48,18.166669
2.757095,16,18.218993
3.547353,22,18.315042
-4.389602,35,18.520541
0.12208,15,18.62019
-0.428161,24,18.762867
-2.18291,11,18.805535
-9.063879,19,18.891199
-4.842531,33,19.018619
-1.712491,17,19.076802
-9.975156,22,19.168612
2.122768,29,19.275715
13.493382,29,19.411502
-1.816126,12,19.47558
-2.316107,11,19.534786
10.855293,27,19.671918
2.835594,20,19.748193
1.765772,22,19.824832
-8.973571,12,19.870441
-11.947364,17,19.952287
-5.827549,17,20.012849
9.715399,36,20.153977
0.562863,19,20.2177
-5.738524,9,20.246676
-2.303889,10,20.279869
-0.084242,14,20.332313
1.751195,13,20.393417
3.54013,23,20.492945
6.758379,37,20.644235
-1.664587,17,20.72668
-10.952568,14,20.778134
-6.453383,19,20.88645
-7.391266,22,21.034408
-6.725718,19,21.119703
-1.614898,15,21.198202
-8.037356,10,21.240634
12.994068,36,21.380684
1.764691,19,21.470922
-6.21757,15,21.551839
7.765553,47,21.73742
7.017225,27,21.834967
-0.678759,17,21.892792
-0.146225,20,21.968081
4.045757,24,22.05725
11.473439,40,22.213501
-8.3719,19,22.282909
-4.917654,21,22.369797
15.056262,50,22.6301
1.53803,14,22.710614
-3.414597,22,22.826897
-4.149818,25,22.938778
-3.171947,11,22.99469
-2.481216,16,23.076766
-0.346269,13,23.146863
-5.325315,19,23.277521
-11.712239,18,23.385638
3.690026,28,23.509799
-0.917034,26,23.642096
-3.320727,11,23.694396
-9.936174,18,23.770563
-4.486024,16,23.861583
2.029257,14,23.955481
-5.914624,11,24.108642
-6.18245,43,24.310626
-4.237263,8,24.346419
-1.480432,22,24.445871
-0.469371,20,24.525512
-3.445461,12,24.580613
-1.595318,14,24.651906
1.539358,22,24.755492
-12.21993,20,24.84947
0.453745,19,24.955784
1.385622,19,25.047034
-8.590708,14,25.109122
-1.022883,22,25.188182
-2.34551,11,25.22995
17.53342,32,25.365133
1.368275,29,25.500763
-6.7799,25,25.648847
-4.313351,14,25.735263
-6.564565,27,32.181951
15.361278,35,32.322139
5.620507,48,32.498314
-3.10956,11,32.548104
20.532734,40,32.803096
36.598193,75,33.121027
15.272767,39,33.296822
-2.752438,16,33.378212
32.528474,50,33.59564
-2.371095,16,33.670786
-4.63368,72,33.963009
22.524451,82,34.277754
22.316423,77,34.554047
27.146627,37,34.689392
16.712773,27,34.805511
5.008366,29,34.951095
4.357845,17,35.059901
-5.513449,13,35.128912
9.83122,45,35.321855
31.608379,50,35.523084
-5.375621,9,35.557384
1.168908,15,35.640856
-6.170784,12,35.681069
1.537326,23,35.759042
-3.002429,83,36.060198
8.024472,32,36.188876
8.128889,30,36.291995
1.494247,15,36.348004
-0.22595,23,36.425268
-1.063474,28,36.532034
1.577261,28,36.628064
0.614888,13,36.672275
17.944878,40,36.812247
24.664171,34,36.936074
6.890344,20,37.010225
15.445255,54,37.21413
36.79761,49,37.488
-0.324614,22,37.58363
13.633957,31,37.713714
7.307964,20,37.782737
9.717777,35,37.907746
14.397143,25,37.989369
-8.976673,25,38.071625
-5.178353,19,38.135245
37.802367,44,38.300624
5.11042,27,38.408611
3.924638,14,38.457573
3.022779,22,38.54216
20.480361,47,38.726095
0.708595,45,38.919312
3.748915,33,39.062976
-1.743613,34,39.204347
3.066911,19,39.292259
12.944248,30,39.415432
8.360255,20,39.483237
9.967505,36,39.660423
9.131935,31,39.838902
-4.440227,19,39.925442
0.509983,25,40.013805
17.856973,40,40.154716
2.269183,15,40.21781
-3.091321,18,40.31726
6.319049,38,40.471363
21.910155,36,46.102623
-0.436184,19,46.174003
6.357895,20,46.247489
18.426902,33,46.357207
-7.481024,51,46.534816
7.615063,57,46.830529
31.945219,44,46.990583
85.597057,78,47.279953
13.181452,42,47.43796
24.335577,54,47.628717
-0.23298,25,47.72565
17.529201,40,47.864698
45.213632,52,48.083679
292.435876,155,48.644713
10.65473,29,48.744608
17.073702,55,48.989185
37.087448,61,49.275864
-4.704324,8,49.30179
45.91739,78,49.601126
-2.662355,21,49.684819
1.36646,30,49.791716
34.453389,47,49.973146
110.402036,107,50.374373
-6.486408,66,50.602091
18.946571,133,51.100043
-2.021285,29,51.211889
19.970812,34,51.421587
26.936673,44,51.62087
31.820068,78,51.970714
32.009274,85,52.378241
-5.036901,9,52.414832
11.016284,38,52.57921
43.929605,91,52.949432
26.839026,52,53.209942
-1.18823,13,53.2562
13.689581,27,53.360927
40.880331,61,53.677433
53.511887,78,54.083996
132.031899,109,60.229439
-4.680204,10,60.265082
19.229904,49,60.471415
28.753448,42,60.651303
-0.601979,18,60.746115
1.540809,23,60.852479
43.277523,90,61.177798
70.958769,126,61.655166
