#{"t_start": 1768469827.2591257, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-6.765988,9,2.07524
7.450324,22,2.234759
-11.348513,21,2.352509
-7.214923,23,2.466947
-14.802911,18,2.526643
-5.76552,17,2.585353
-4.843374,8,2.624529
-2.600783,10,2.657727
-4.628202,9,2.711563
-4.810922,10,2.745369
-1.974699,14,2.793392
2.175057,19,2.857745
-6.270044,14,2.909226
-12.443053,12,2.956824
-7.907641,10,3.000679
-1.172155,15,3.051216
-3.652622,15,3.117752
2.090762,15,3.16759
-4.319438,12,3.207397
2.72505,28,3.304154
10.73064,26,3.40611
-7.49181,12,3.447823
-3.073793,26,3.536906
-5.035212,16,3.603152
-6.02461,14,3.65154
-3.617325,11,3.687864
-8.733512,14,3.746685
-13.774756,14,3.792695
-7.952201,13,3.836431
-7.970316,23,3.923552
-6.810092,12,3.967976
-5.446238,12,4.008838
-3.0893,13,4.051333
-3.95603,9,4.087256
-6.539302,8,4.118514
-3.23257,14,4.168141
-4.983921,14,4.226583
0.158287,21,4.320479
-6.74225,21,4.420834
-3.781208,10,4.482869
-4.231933,14,4.569747
-2.774313,11,4.628716
-7.063488,14,4.681299
-1.473317,15,4.752053
-13.777992,13,4.825302
-2.094377,28,4.948686
-2.189928,17,5.008187
35.942929,39,5.151572
-2.651404,22,5.226172
1.146783,30,5.339805
-6.965448,15,5.397998
0.26884,12,5.457195
-8.200939,25,5.542531
4.196241,24,5.629457
-6.6437,10,5.680458
-1.726268,24,5.764714
-0.510219,11,5.800794
-5.702015,11,5.837226
-6.939565,11,5.879437
2.021641,16,5.932515
-2.774361,9,5.961291
3.441761,39,6.091792
-7.953954,15,6.142009
-6.064483,6,6.161932
-16.5812,16,6.216856
-10.064709,16,6.272125
0.590934,19,6.345855
-12.485973,15,6.399549
6.605074,21,6.470636
0.960857,14,6.519527
-6.790042,29,6.620216
-2.034927,13,6.663507
13.856061,42,6.865845
-15.051938,16,6.964969
3.421189,22,7.04202
-5.95469,11,7.101506
-6.187127,8,7.140609
-5.567114,15,7.197484
-5.549353,15,7.247734
-8.340085,27,7.341782
-17.852708,19,7.428853
2.993088,15,7.479596
-2.113422,13,7.522736
-6.768248,12,7.565553
-2.84741,19,7.630063
-7.175499,13,7.672265
-5.807369,9,7.702453
-8.733736,33,7.820024
-7.043568,21,7.889813
-10.226576,10,7.925541
-2.187902,18,8.003658
-2.894983,11,8.038791
-0.436852,12,8.082273
-5.088172,15,8.168803
-10.007017,9,8.199353
-8.492073,20,8.263763
-6.423007,9,8.293973
-7.696884,18,8.354675
-5.08331,17,8.413797
-13.17927,20,8.485739
-0.536766,12,8.524275
-4.228914,28,8.632116
-7.507129,14,8.684685
-2.991484,11,8.72607
-0.520096,16,8.784473
-7.956737,22,8.864956
-1.114001,23,8.96034
-6.07334,10,9.006577
-11.770919,22,9.214944
-0.3238,18,9.325519
-3.214887,13,9.394933
-2.888363,9,9.437351
-5.964885,10,9.490093
-13.053216,19,9.602601
10.196317,34,9.792051
-15.965176,26,9.922114
12.303243,25,10.051261
15.287873,32,10.208276
-11.134946,23,10.292788
0.74183,15,10.355622
-4.073635,11,10.402092
-11.393462,20,16.755847
-0.846997,17,16.814948
1.28779,15,16.868855
1.218021,14,16.934043
-11.147832,19,16.994727
0.536623,13,17.043451
-0.919964,12,17.09678
-6.903175,9,17.129176
8.333605,35,17.25095
-5.408017,11,17.285806
-2.005963,12,17.3332
-0.97167,12,17.395722
-6.395705,17,17.455672
-2.770784,10,17.488941
-5.640063,16,17.543121
-3.524519,32,17.65276
-3.933502,24,17.764443
-7.190034,10,17.797364
-8.180076,39,17.941815
-8.566269,17,17.997326
3.802742,30,18.096976
-1.53239,15,18.160493
20.089885,66,18.454119
-13.125155,12,18.529932
-1.798526,18,18.648898
17.438395,34,18.829525
-11.30623,18,18.904974
-5.409771,9,18.946725
-9.583196,23,19.028328
2.989453,20,19.096424
-0.633894,24,19.195616
0.624248,33,19.321864
0.299881,19,19.417621
-3.826688,14,19.491863
9.917966,48,19.725676
-8.023038,19,19.795043
4.692628,33,19.921767
3.670146,26,20.027747
6.792038,22,20.120687
-4.942552,17,20.177925
-8.640231,15,20.227397
0.885328,34,20.346263
8.385559,21,20.439834
-4.10802,17,20.514705
-4.770109,8,20.544028
-4.932255,30,20.677103
0.740572,18,20.754552
-1.94885,16,20.819503
-3.355641,18,20.935028
13.011965,32,21.118287
-8.552555,16,21.194542
-2.932729,24,21.293038
-2.598153,21,21.380732
1.680951,14,21.435248
-6.566371,10,21.493503
-5.969557,16,21.572797
0.671285,15,21.631825
-2.792772,27,21.736325
-2.422505,19,21.81069
-3.487516,9,21.841372
-4.335962,15,21.891773
8.62887,30,22.008844
4.623948,26,22.096994
-2.298835,11,22.134778
-5.401377,15,22.20594
-1.677261,19,22.274475
-6.277253,11,22.316918
11.089414,30,22.456877
-1.958372,20,22.564986
-4.945522,23,22.683184
1.3402,17,22.776278
-4.209837,25,22.909821
-0.009982,13,22.957152
-1.142733,10,23.010158
-6.940737,18,23.102578
-4.227248,11,23.163188
-2.364429,13,23.249213
-2.638779,14,23.34532
8.88444,20,23.440153
1.589097,15,23.510134
1.346001,16,23.597468
3.078045,23,23.704034
10.624504,29,23.843501
1.281905,17,23.94623
-5.595036,13,24.118044
12.797385,37,24.294897
6.331839,22,24.39141
-8.542855,18,24.471043
-0.9749,33,24.619797
5.454823,25,24.73451
10.254451,27,24.865084
-6.374919,11,24.925462
-4.701795,9,24.980245
-3.763892,12,25.033608
7.470782,23,25.13288
-8.374888,8,25.163938
4.093571,36,25.293175
-6.529087,10,25.343403
-4.739287,24,25.458418
1.018742,21,25.568063
-4.331463,14,25.648142
3.797954,22,25.780699
-2.607348,21,32.191686
1.016897,36,32.338027
-3.073595,17,32.402211
3.857351,37,32.536692
6.758686,19,32.658661
-3.345913,16,32.77235
21.541852,57,33.017747
-2.171395,17,33.094145
26.749081,36,33.250208
3.451392,35,33.416443
-7.499839,24,33.520677
10.331655,33,33.664429
-2.70716,12,33.715075
9.46176,106,34.14545
-5.982929,23,34.232869
-12.352397,18,34.295656
4.592704,32,34.409589
22.21889,55,34.607758
13.490704,29,34.713233
-1.223968,23,34.815097
13.423114,35,34.999252
-5.135953,13,35.080693
23.863993,60,35.353545
2.291621,21,35.441482
-5.371009,30,35.553069
13.035125,41,35.725043
0.307671,52,35.921611
3.471562,19,35.985898
-3.06583,23,36.063819
24.80327,42,36.227298
-0.978471,32,36.339099
5.92276,24,36.421614
59.210503,59,36.634284
-4.988511,8,36.662443
-1.797969,22,36.73602
-5.492466,10,36.769252
149.423482,122,37.223554
8.565082,28,37.395254
2.512498,21,37.497652
16.605479,42,37.682177
5.042361,28,37.78178
31.869214,55,37.973463
29.724667,57,38.163744
53.916568,59,38.393428
-2.333282,30,38.500242
-14.624044,91,38.876288
4.390153,30,38.993134
-2.853031,10,39.036879
26.65153,42,39.220552
1.646844,31,39.360198
-8.139714,27,39.460393
-3.445769,16,39.514507
2.827842,20,39.607877
5.417959,29,39.789038
40.168689,67,40.061461
29.451475,44,40.227138
1.181035,32,40.381097
1.501294,17,40.458375
5.17601,26,40.550064
-2.32724,18,46.11593
254.02101,170,46.809861
48.883971,57,47.017074
25.538626,51,47.195697
0.821504,19,47.274922
2.844598,26,47.370571
-8.128623,169,47.998374
16.453416,38,48.148743
25.47301,47,48.315693
18.625982,85,48.630343
0.505563,30,48.735627
1.64074,30,48.852245
19.789028,60,49.160112
-6.431188,7,49.18409
-0.328513,14,49.244313
13.599283,30,49.358722
14.809163,38,49.493422
-6.062912,21,49.565906
5.46326,44,49.744411
10.844282,35,49.892822
12.105899,28,49.986822
47.829721,60,50.225351
-0.083753,30,50.332088
17.958121,70,50.570138
31.535059,50,50.756991
17.739089,62,50.995095
35.025268,57,51.198898
18.944493,46,51.469288
58.410731,90,51.887359
10.2711,31,52.014933
4.411023,53,52.265956
-0.569724,13,52.333791
32.718572,52,52.561426
3.53498,25,52.648612
26.132667,72,52.949221
-1.048958,11,53.005246
-3.13607,37,53.182167
27.794956,55,53.420563
63.152659,65,53.778892
73.314103,80,54.165403
24.032107,49,54.38863
6.657673,41,60.225988
94.088844,132,60.806485
5.537642,18,60.878056
237.30776,163,61.485333
14.149919,49,61.664556
-2.298551,16,61.717421
20.466668,44,61.885705
32.618685,70,62.133402
257.870246,188,62.841907
36.530609,57,63.127386
54.843221,86,63.447637
4.202762,41,63.640137
41.993413,94,64.024241
26.561961,56,64.242023
124.820287,162,64.82682
76.568817,149,65.467124
35.226601,108,66.032945
16.037923,32,66.258205
12.251745,22,66.337064
379.445941,262,67.304749
-5.437044,37,67.448855
27.130803,87,67.853104
26.6052,117,68.313249
15.572855,104,74.550024
34.044744,44,74.862643
23.57362,59,75.182958
37.560915,139,75.986129
18.553902,47,76.248154
43.873047,58,76.562735
24.584311,88,77.107124
228.269684,331,78.734677
181.491256,374,80.762275
76.046863,117,81.441823
22.879292,91,81.983282
6.448731,21,82.088968
142.746905,206,83.061507
35.302347,67,83.409628
327.55701,186,84.272595
52.422349,101,84.76176
22.657026,42,84.981501
191.945768,118,92.524639
48.475167,140,93.237525
232.187804,140,94.012765
96.865809,191,94.969203
102.275683,188,95.98385
323.919201,181,96.723856
250.362999,168,97.545609
316.128951,203,98.56676
7.376464,19,98.637626
433.208574,311,100.051982
49.035279,100,100.565664
44.685894,143,101.33855
149.149936,255,109.093999
357.127759,262,110.230486
63.08421,168,110.860839
40.575561,128,111.305379
39.175061,106,111.687331
23.08602,137,112.272375
352.624473,212,113.100476
115.263629,240,114.000081
100.62846,136,114.555951
370.989042,211,115.359117
63.625663,179,116.212294
-0.753102,11,116.250519
41.857677,135,116.739825
19.180587,44,122.545658
226.742466,136,123.05233
279.622886,184,123.69454
26.051953,87,124.14099
63.429145,175,124.785672
352.815362,222,125.60106
354.594673,215,126.583559
275.734722,238,128.034075
389.797438,265,129.628439
370.565367,254,131.032161
322.241164,219,132.09938
75.46198,297,141.671195
37.968215,186,142.634105
344.911121,212,143.773365
362.106713,282,145.232354
401.328518,336,146.915903
305.687063,194,148.265988
258.145312,131,148.975046
150.137433,94,149.462567
183.801513,112,150.110831
295.510605,168,150.975654
363.352434,252,158.638693
329.672122,259,159.717345
263.65016,155,160.311765
237.746789,151,160.891533
279.302597,171,161.513948
96.145632,194,162.397408
71.018249,173,163.046262
296.628609,169,163.69148
225.553068,127,164.276613
336.439227,218,165.117867
329.713116,205,165.912095
117.232942,240,172.37653
337.776357,226,173.278984
73.575,116,173.824101
32.893265,220,174.647136
224.139129,135,175.160863
366.992145,239,176.179272
398.54924,351,177.476194
46.842459,165,178.214709
328.875186,181,179.079552
435.757816,500,186.606102
321.717838,197,187.430432
290.430605,186,188.199994
70.568369,198,188.934006
100.407377,227,189.904157
72.898789,236,190.817172
383.56363,296,191.99613
301.640212,164,192.648524
400.879198,483,200.320867
437.15403,297,201.68978
320.115576,186,202.459962
253.688302,154,203.072124
306.712705,182,203.840335
262.588637,144,204.417243
363.583942,268,205.453293
323.993429,176,206.218142
472.294567,361,207.668444
216.262864,160,213.942193
401.256026,236,214.861652
280.130429,188,215.809488
302.793168,163,216.933056
146.608423,279,219.210986
280.434513,175,220.750972
551.9694,369,224.072382
240.065314,135,225.339952
319.40924,184,226.786897
258.054775,164,228.318038
291.87831,167,245.920389
202.180471,113,246.881185
328.143509,194,249.286695
412.991726,252,252.573837
302.307941,169,254.056128
46.895252,159,255.606407
239.359477,139,257.154937
279.967343,161,258.889531
305.596535,174,260.957601
48.670578,158,264.612612
448.926466,292,269.613987
373.800463,203,284.599738
297.728149,165,286.013578
186.49068,99,286.970376
456.993362,342,290.102925
68.607713,194,291.906568
278.902526,153,293.446785
25.867701,115,294.450172
283.746959,152,295.838909
322.872275,204,297.707361
316.172148,204,299.719827
440.479396,300,302.510628
427.299815,287,315.01849
285.676076,156,315.921283
347.789832,219,316.985874
286.378375,181,317.961863
369.869573,206,318.912335
326.009639,182,319.861398
391.653736,215,320.945899
365.461542,193,321.924004
402.325247,250,323.164758
490.017777,321,331.042678
247.049107,130,331.778989
344.147565,202,332.706607
330.986817,190,333.577671
323.475881,164,334.393044
301.022317,152,335.027618
57.345729,184,335.768414
230.946707,113,336.424775
354.857629,196,337.374481
242.771163,126,337.980733
244.324779,128,338.656442
275.764574,150,339.313021
341.990521,183,340.234096
364.32245,226,348.626374
436.290663,282,350.021265
258.180455,143,350.793947
406.946575,211,351.774051
331.979337,175,352.825554
268.827451,150,353.619155
369.442182,201,354.572087
340.270361,162,355.542589
426.402951,277,356.901163
259.883344,135,357.509827
367.178024,201,363.694541
327.64795,185,364.501647
443.787818,298,365.701139
236.710459,132,366.175421
329.517465,181,366.949978
281.653366,140,367.504934
360.839682,185,368.215543
385.667436,214,369.093702
229.290424,112,369.569248
304.582795,160,370.160335
287.676937,150,370.760191
333.299866,183,371.550395
516.761419,344,378.314122
598.981635,431,380.032229
328.066436,168,380.789673
292.367064,137,381.443603
64.047812,176,382.101065
340.715478,175,382.76231
306.690313,158,383.489413
329.661893,182,384.167178
396.842724,204,384.95143
328.360581,179,391.096941
359.199418,188,391.822491
335.884574,167,392.529766
301.651965,182,393.255224
422.756637,266,394.324375
401.995938,207,395.188606
345.553796,175,395.850439
239.767424,124,396.324131
304.103913,147,396.94209
370.281882,196,397.784986
335.405239,177,398.457729
422.049033,252,404.89712
402.727575,247,405.889151
369.641647,208,406.772036
285.762621,450,410.691364
391.604328,218,412.715351
320.627569,174,414.352023
400.828501,216,416.157723
391.619385,206,418.08184
357.011475,192,419.76806
356.895926,192,433.04893
355.807286,199,434.602297
285.255838,147,436.108621
252.692996,129,437.289722
249.240438,125,438.497267
429.492345,225,440.69788
105.523072,227,443.008376
320.358763,168,444.677992
399.828644,211,446.686937
321.940872,169,448.351767
380.240483,195,450.218225
351.858133,192,463.728493
310.864009,159,465.319844
390.928628,210,467.403274
484.508578,308,470.399168
354.242436,199,472.352926
302.214402,145,473.772543
332.655994,176,475.503106
348.409062,171,477.175183
365.624154,222,479.362522
423.665042,265,481.894661
483.030086,284,496.734403
377.760036,191,498.597642
378.922009,208,500.544294
352.723915,194,502.299439
366.472303,190,503.850339
325.105443,174,505.371349
465.353461,254,507.78361
434.100925,233,510.062538
336.481354,181,511.84408
402.752124,225,525.682563
433.033659,217,527.658529
347.927748,177,529.375445
451.519764,258,531.783016
307.371438,141,533.12519
357.646058,178,534.77595
328.7788,160,536.306863
370.392509,190,538.119994
407.295704,222,540.239918
423.232064,217,542.357566
339.491027,171,543.931711
340.676128,181,557.441208
419.582671,213,559.446002
341.478651,173,561.079431
361.246981,186,562.894536
350.014313,183,564.710558
274.376342,151,566.195693
385.958469,208,568.30506
422.127828,251,570.767651
368.164279,187,572.564185
344.087785,177,574.259737
302.793864,163,575.830507
404.836688,230,590.015739
329.417175,185,591.795517
447.582909,219,593.899349
345.922459,187,595.721604
363.924927,190,597.551745
298.792869,140,598.870083
