#{"t_start": 1768469827.2492275, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-8.41914,10,2.092708
-4.785289,19,2.230193
2.245053,17,2.338892
-1.414568,13,2.395437
-17.218349,19,2.486671
-10.114906,40,2.633802
-5.153289,12,2.67925
-17.165974,21,2.768214
-6.795615,13,2.813092
-8.524995,28,2.91252
-2.037709,22,3.000476
-7.402423,10,3.03788
-10.487094,19,3.117088
-0.779945,12,3.156272
-4.933153,14,3.203605
-7.417143,29,3.303215
-7.520075,9,3.33891
-1.978814,12,3.389323
14.442075,30,3.490279
-12.312638,19,3.557595
-9.020251,14,3.618593
3.717423,24,3.697051
-10.268506,24,3.789499
0.343542,31,3.897255
-3.472756,16,3.958269
-4.499791,14,4.00853
-4.866449,7,4.031738
-2.920345,20,4.107495
0.966361,12,4.149142
-1.771402,15,4.212262
0.369447,17,4.276546
-1.844775,12,4.334619
5.199017,20,4.429883
-4.005883,11,4.498245
-0.788677,21,4.627084
-3.545538,12,4.673227
-13.426561,33,4.834319
-10.354338,14,4.898284
6.108423,25,4.997402
-11.212336,16,5.051087
1.920116,30,5.165089
-11.086607,13,5.208936
-0.507634,19,5.275637
-1.56663,23,5.365625
-1.072675,10,5.401565
1.167942,13,5.46659
-5.699854,18,5.527575
4.340986,27,5.619229
-4.454461,15,5.693423
-6.770295,6,5.719599
-1.765651,20,5.784381
-15.23518,15,5.833594
-9.776951,13,5.882564
8.871173,24,5.960988
-0.647912,25,6.045251
-2.394649,9,6.075053
0.403327,16,6.127728
-5.269041,19,6.192156
3.700073,15,6.243693
-6.595674,35,6.372267
-3.31858,25,6.460839
-4.970491,10,6.494299
-3.206684,8,6.522401
9.482781,21,6.593348
2.575668,32,6.702229
0.312176,26,6.835696
-7.142018,12,6.906045
-8.168579,15,6.989704
-0.950635,17,7.048081
-0.438897,14,7.122922
-3.761785,14,7.184579
-7.331215,31,7.289518
-2.357862,14,7.337312
-2.89821,11,7.386991
-6.319278,13,7.442517
-10.59901,9,7.472521
-2.52019,11,7.508237
-7.193027,16,7.564439
-6.139218,13,7.60836
-2.693283,30,7.708714
-2.072496,13,7.752376
-1.621148,12,7.79943
5.645058,22,7.873369
-5.318197,10,7.906278
-5.619083,14,7.966541
-0.232077,17,8.02907
-3.595498,26,8.138108
-0.306253,24,8.234287
-5.01771,13,8.276724
23.176748,40,8.411916
-7.136133,30,8.517692
-4.455555,14,8.570929
-2.737659,25,8.661013
-7.705477,17,8.729074
7.130861,17,8.790452
-8.475235,21,8.864693
3.563456,15,8.926996
12.436659,32,9.108017
5.451994,24,9.309042
-17.633068,15,9.395605
13.499064,36,9.58843
-3.651453,22,9.71632
0.074029,20,9.824308
-14.823098,16,9.905443
-2.982017,12,9.967745
1.303417,13,10.031093
-5.152624,20,10.126403
-10.573749,13,10.193058
-4.491315,13,10.250431
-5.294308,10,10.285527
-5.757542,8,10.315701
-15.216876,21,10.397279
-4.6789,27,16.784005
2.814193,27,16.878175
-3.702847,16,16.950084
-2.271164,19,17.010684
15.566954,34,17.146832
12.297843,28,17.237081
-15.691929,17,17.29877
7.015157,40,17.464737
4.443574,38,17.593773
7.075307,28,17.700308
-5.898338,9,17.747874
-5.943938,12,17.790552
0.915155,18,17.852844
-3.40511,10,17.889574
-1.492365,16,17.951191
-6.15356,12,17.991155
-3.234796,11,18.027907
-1.121554,18,18.086453
2.440068,16,18.152778
-8.731692,10,18.186021
2.294253,19,18.248224
1.769245,17,18.322325
-3.758893,33,18.511607
-0.009231,20,18.64468
5.153955,23,18.782136
6.685735,28,18.903871
-0.979824,11,18.950198
7.004657,23,19.034319
-7.355505,9,19.066061
-4.594008,9,19.096002
-11.79617,18,19.168953
1.9552,22,19.256113
3.54485,22,19.343231
-3.712936,31,19.500734
-1.593073,14,19.57217
-0.338866,13,19.640347
6.37651,25,19.749469
