#{"t_start": 1768469827.2386096, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-7.969761,10,2.102182
-7.316031,12,2.189824
-0.33386,14,2.294578
-2.615085,17,2.376684
-0.835728,17,2.469772
9.466266,24,2.550127
-4.159731,15,2.599765
-4.681745,15,2.66418
-3.713129,34,2.802682
-5.032002,16,2.85682
-5.61869,25,2.954749
-1.733125,31,3.067604
-9.666231,18,3.144301
15.768195,48,3.305884
-6.702833,16,3.374537
-13.268789,20,3.442864
-21.398789,19,3.507813
-12.610444,21,3.582055
-3.061609,14,3.642148
4.371391,35,3.770214
-2.083405,14,3.816272
1.967915,42,3.968325
-4.447243,11,4.007186
-4.395082,14,4.055322
-3.069528,16,4.117506
-0.112876,11,4.156083
-5.599258,12,4.204314
-0.660155,13,4.253142
-3.154487,22,4.3512
-4.456581,11,4.399462
-7.741027,14,4.483445
-10.690101,22,4.622942
-3.676915,9,4.659294
-3.860857,10,4.697677
-2.073813,12,4.747907
-6.337125,29,4.901909
-2.140481,25,5.001054
-2.404692,11,5.037807
-5.31518,16,5.097794
2.334241,25,5.189323
-4.616176,12,5.230048
-8.04069,29,5.339473
-7.336484,17,5.40082
-4.234273,15,5.472079
0.397071,37,5.600013
-2.09,29,5.724946
-8.360147,21,5.794484
-4.015507,13,5.837914
-4.866852,15,5.892606
-10.057367,26,5.977758
-7.428419,22,6.051969
-3.333337,19,6.115064
-13.192601,21,6.185322
-4.581397,10,6.220326
-11.590503,13,6.2654
6.117037,20,6.337261
-3.180468,9,6.372386
-4.631914,14,6.422764
-11.922162,16,6.477768
-1.424418,12,6.519171
-11.764054,18,6.580552
-12.02349,19,6.647007
-4.177102,8,6.673793
-8.647182,8,6.69911
-8.014041,9,6.730202
-6.961198,20,6.839822
3.779072,20,6.961863
-6.629452,15,7.02366
-6.396205,27,7.145972
-13.157108,20,7.224137
-9.292964,26,7.31342
0.477237,17,7.371491
13.483364,43,7.539163
-1.525831,16,7.59602
-5.587225,11,7.632085
-1.401761,15,7.682244
-5.641177,22,7.756168
-14.52938,20,7.830036
-2.113577,19,7.893264
-0.154713,12,7.935233
-11.314706,13,7.997587
-1.631558,26,8.081618
-7.527269,12,8.142053
-7.250637,26,8.248152
3.606116,32,8.35449
-4.777339,10,8.388117
-7.695206,16,8.449411
-5.037531,10,8.483086
-0.595674,20,8.548305
2.553852,27,8.651827
-4.993294,11,8.688093
-6.785564,30,8.804164
-8.921012,27,8.9088
-5.696035,14,8.96031
-2.834854,25,9.107967
-7.98944,9,9.20457
-6.984302,8,9.269212
-0.117679,14,9.359139
-14.030301,13,9.422118
0.986296,21,9.533015
-8.174558,15,9.621806
-1.029542,20,9.738755
-1.924261,11,9.79407
-9.195516,21,9.906405
-2.647255,24,10.024907
-9.652579,17,10.109466
-9.063107,12,10.169633
-5.658283,32,10.30263
5.283087,27,10.406922
0.933987,15,16.751393
3.92806,33,16.867756
6.149833,39,17.014537
-1.965121,16,17.073241
0.465216,14,17.134583
-3.525241,30,17.234776
1.794478,16,17.293398
2.032682,16,17.352895
