#{"t_start": 1768469827.299638, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-6.687427,18,2.102487
-6.835016,9,2.16874
-8.531892,17,2.282077
-2.057729,22,2.388505
-3.068767,21,2.467665
-2.729298,12,2.506108
-6.379019,27,2.61157
-1.724748,19,2.69891
-2.284243,14,2.746807
-11.546341,23,2.827619
-0.44312,15,2.885097
-6.162467,13,2.931582
-7.177325,9,2.971543
-8.277623,13,3.016592
3.693852,24,3.110764
-6.972713,15,3.16128
-8.4479,14,3.209048
-1.39505,13,3.254671
-12.41743,21,3.340489
-9.663435,27,3.430984
2.531867,16,3.48741
-3.450309,31,3.605463
-3.593488,18,3.675946
-2.719975,14,3.723661
-4.038535,9,3.753473
-4.987759,11,3.78935
-6.853374,8,3.819995
-5.474008,9,3.851571
-4.518683,17,3.915355
-10.232002,17,3.97607
0.770023,26,4.072302
-6.48496,16,4.129894
3.71361,28,4.244354
-5.46903,14,4.314361
-3.280404,19,4.411927
3.696069,35,4.608046
-4.334211,16,4.674326
-4.639508,12,4.734489
-2.038416,25,4.85607
-1.272258,16,4.923855
-4.546834,16,4.978529
4.241712,20,5.051481
-5.467752,16,5.112358
-12.440728,19,5.177005
-4.526919,10,5.212836
-4.091982,19,5.286901
2.737897,22,5.375138
-7.72627,13,5.431731
-15.315946,13,5.474938
0.88113,22,5.550627
-3.586541,12,5.602031
-3.268604,12,5.655519
-7.779221,10,5.692662
-10.761397,21,5.761752
-3.679247,14,5.807777
-9.670018,23,5.88836
-5.968706,8,5.915086
-4.626174,13,5.959666
-2.501014,10,5.992724
-8.747719,13,6.035844
-2.977715,10,6.068745
-0.932008,24,6.150091
4.11688,21,6.222852
-9.482639,9,6.256255
-3.827805,33,6.377661
-4.962669,19,6.441822
-0.335134,28,6.537718
4.573956,28,6.633027
-4.992909,12,6.674171
1.541192,16,6.7617
-5.831105,20,6.884629
-13.350348,19,6.96845
-4.637746,17,7.039525
-11.716418,23,7.144998
-3.565892,14,7.19187
-1.728561,15,7.24411
