#{"t_start": 1769353420.355786, "env_id": "CustomWalker2d-source-v0"}
r,l,t
0.727896,25,5.854459
2.369714,16,5.913527
-0.358387,13,5.954355
-3.026139,12,5.992894
-7.961822,13,6.034533
-3.842375,31,6.133051
13.488125,39,6.256641
-2.310732,17,6.310238
-0.726717,15,6.359038
-0.057779,13,6.399534
-0.680968,10,6.433417
0.787964,20,6.499245
4.426052,23,6.572534
10.34773,21,6.654528
-1.059888,13,6.69839
-7.791679,16,6.749932
-2.34549,19,6.812285
-1.268202,12,6.851475
-4.405333,12,6.90078
-1.231617,15,6.987118
-6.539157,13,7.04991
0.449519,11,7.100953
-4.792431,21,7.201214
-1.605628,26,7.321731
2.355699,14,7.388429
-2.106302,21,7.487131
-0.888639,10,7.532357
3.116352,25,7.663221
4.318838,19,7.795853
-0.380203,16,7.885318
1.049855,13,7.953337
-0.273608,27,8.065683
-2.302431,12,8.116839
2.21258,18,8.192999
-4.721084,12,8.243859
-3.456787,10,8.287323
2.417444,15,8.353993
6.47061,19,8.444082
-4.842724,13,8.511949
-10.603405,21,8.613581
-4.524084,10,8.661688
12.211237,30,8.823063
-5.837977,19,8.918022
0.526669,18,9.015494
-3.662116,17,9.097361
-0.090183,18,9.188825
0.822662,25,9.271127
9.170369,50,9.432045
-5.70254,26,9.517182
1.665537,17,9.569823
-0.388736,24,9.645241
-4.098925,10,9.677459
0.160868,28,9.767625
0.668836,16,9.817542
-4.522118,18,9.881049
4.964157,22,9.958516
-1.891142,11,9.991681
0.751366,12,10.026849
-0.804745,29,10.118058
0.690073,13,10.159028
0.289582,20,10.223278
-2.169482,9,10.252149
17.340963,35,10.362064
1.719812,17,10.415025
3.854914,19,10.480433
0.754026,27,10.578187
8.295774,42,10.738575
-9.25348,23,10.820396
1.255608,19,10.882041
-5.724523,25,10.977991
-7.628953,12,11.018469
-5.714388,9,11.047915
-3.179186,11,11.083344
9.492613,30,11.179597
-4.774889,12,11.218221
-0.956813,11,11.253311
0.491916,18,11.311836
-3.205693,17,11.364607
-5.521238,13,11.40599
12.733324,56,11.587333
-2.973146,13,11.62814
-4.141604,14,11.673588
0.948266,19,11.736546
-2.485253,12,11.773234
3.585625,19,11.833888
-2.001217,13,11.880784
-4.728376,9,11.909509
-4.604616,14,11.972341
8.300597,31,12.073551
-3.435677,20,12.138907
5.888671,17,12.199346
-3.375913,19,12.262529
1.790091,17,12.314827
-4.180531,10,12.346168
-0.371072,16,12.396293
-0.966966,13,12.437489
-3.896165,10,12.487622
-3.107069,14,12.56548
-2.505649,9,12.604936
1.504757,29,12.699306
-3.113447,25,12.783391
3.311696,16,12.84798
3.090642,16,12.898204
3.33209,20,12.962651
-1.17909,17,13.03404
0.973288,21,13.10033
0.970938,19,13.160703
-7.659919,22,13.23164
-5.698449,16,13.283516
-2.726793,11,13.318365
-6.753121,17,13.371525
0.038689,14,25.406582
-5.468865,10,25.441534
-3.074713,10,25.475047
3.019501,14,25.521233
22.162173,53,25.692229
-3.995159,22,25.760339
