#{"t_start": 1769353420.3476498, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-1.754747,18,5.839032
-3.167713,27,5.934036
-2.429346,10,5.965316
-3.488329,19,6.026426
-5.804528,22,6.095693
-5.226146,7,6.118711
0.218958,19,6.178666
12.291958,40,6.304942
9.396204,30,6.400645
-1.208871,11,6.437563
-1.047283,12,6.47899
3.867756,32,6.580102
3.970991,15,6.640827
-1.313611,23,6.719033
-6.22471,24,6.797359
2.782217,17,6.852097
-3.782894,14,6.907724
-5.79165,21,7.024733
-0.874205,8,7.062384
4.038687,17,7.14324
-1.692705,17,7.225092
-3.278089,27,7.348812
10.47646,22,7.451898
-4.450128,25,7.56836
-0.250217,27,7.727896
-3.225832,22,7.864483
1.100428,18,7.960552
-5.175335,15,8.022933
0.402694,22,8.115651
-2.342134,16,8.184254
-4.587088,8,8.217418
-4.155235,16,8.285781
-2.118095,13,8.343667
10.343793,28,8.477333
6.721336,25,8.60167
3.283483,16,8.678065
-3.326788,23,8.794121
0.908657,12,8.867738
5.329269,25,8.995954
-6.895565,31,9.150191
5.143111,28,9.260573
0.36425,16,9.30985
10.740783,23,9.385026
7.960797,32,9.490423
-10.970739,16,9.539794
5.366404,17,9.592746
1.694454,22,9.662681
0.125049,13,9.704695
-1.590985,22,9.775231
-6.554667,7,9.798195
-3.66337,11,9.83137
-2.225416,15,9.882752
-0.407632,21,9.960264
-6.758232,30,10.050412
4.150734,17,10.104213
2.440965,21,10.170257
1.565036,29,10.263136
3.676541,16,10.313476
1.019885,20,10.376096
-5.233546,14,10.419567
-2.36719,14,10.466254
1.422134,18,10.528962
0.449341,12,10.574008
-5.380685,20,10.648798
4.630962,26,10.750446
-0.53273,12,10.794543
-7.281512,12,10.834874
-5.186554,30,10.945794
1.784333,20,11.01245
-3.368938,9,11.042551
-2.85004,13,11.084887
-3.03931,23,11.158067
-4.361862,34,11.267975
-6.188061,9,11.297319
-1.285309,27,11.382362
-6.322063,10,11.413455
-7.843828,28,11.505053
9.331427,32,11.607501
5.881981,18,11.665571
-9.495653,19,11.728076
1.00897,18,11.78442
2.827057,29,11.881582
-1.945416,14,11.926703
0.438976,13,11.98658
-5.598773,8,12.012365
-2.645676,9,12.041729
-5.747676,15,12.090695
-2.609094,11,12.125702
5.655417,16,12.179652
-0.465258,18,12.244994
3.356587,19,12.303895
-5.626642,10,12.334821
-6.552887,27,12.419172
2.626722,20,12.50433
-0.983173,14,12.582671
1.170223,15,12.63907
-9.387169,15,12.688118
0.130104,21,12.757937
0.413189,17,12.826578
1.569614,18,12.88338
-4.245272,22,12.953992
0.804085,22,13.041585
9.40089,28,13.13003
-1.093416,9,13.158527
12.400217,44,13.301105
-0.632063,17,13.354509
1.35102,40,25.475932
-4.768242,10,25.509141
8.905324,27,25.597135
-3.79062,9,25.62694
-5.907982,30,25.721766
-2.412094,12,25.758069
-2.522959,15,25.806674
-3.8431,14,25.85122
-2.601295,20,25.915916
1.605427,14,25.96493
-8.37431,15,26.012015
-0.802631,12,26.052923
-2.592889,10,26.085336
-2.447386,12,26.125707
-1.894739,16,26.177742
-1.94237,20,26.242902
14.192551,48,26.394452
-5.090747,26,26.493773
3.27635,21,26.56227
15.035686,38,26.685525
18.007651,39,26.808994
-4.59423,24,26.886974
4.861933,18,26.948421
3.591662,15,26.995553
10.962406,31,27.098955
0.399941,31,27.199873
-0.611883,14,27.245918
5.166754,24,27.320616
1.992866,25,27.401239
0.191802,15,27.451095
-9.281734,21,27.539142
3.419911,19,27.60173
1.206073,13,27.646561
-4.435649,20,27.714529
-1.861644,12,27.754065
0.584648,18,27.815203
4.415439,35,27.932184
2.305986,19,27.995673
-3.238826,19,28.058447
10.140151,24,28.139094
1.396217,28,28.232607
-5.888065,22,28.304467
0.598708,15,28.351938
-0.337703,15,28.398295
8.016828,22,28.468156
-2.740491,18,28.545171
13.105784,42,28.684359
5.320911,15,28.731088
-8.691548,15,28.778978
-3.850235,11,28.816412
0.561151,16,28.868513
-6.39774,12,28.907202
4.322299,21,28.976195
1.348822,13,29.017092
15.81639,31,29.122239
1.792737,23,29.200814
4.497608,18,29.259768
1.626757,43,29.394778
4.017301,13,29.435135
16.558144,44,29.594387
2.531177,44,29.737606
-2.454858,14,29.780178
1.363742,13,29.822426
15.627094,56,30.002533
2.21265,17,30.057444
-6.987309,19,30.118546
0.361415,14,30.164289
-3.129192,14,30.210054
4.246419,32,30.31332
5.474439,20,30.37845
-3.515299,18,30.437223
3.551097,17,30.493686
-6.253385,21,30.562956
-6.067979,9,30.606638
16.385355,37,30.728145
1.301123,15,30.776529
6.888804,23,30.850781
1.54795,24,30.927885
0.45879,12,30.970891
0.277091,12,31.008655
-3.308958,12,31.048748
-4.203245,23,31.122951
6.658957,17,31.17948
-2.827134,16,31.239967
2.085867,34,31.418451
0.680769,19,31.51187
-3.114271,21,31.616114
-7.63849,12,31.679786
-4.292417,28,31.820549
-0.27188,18,31.912531
9.948388,46,32.147304
7.583518,31,32.301474
-0.377429,41,32.484704
-1.19709,23,32.591825
8.980833,31,44.806065
0.303675,10,44.85034
9.884778,35,45.037003
0.105875,16,45.114047
-5.011102,16,45.189957
44.52311,104,45.719247
28.360472,46,45.867784
6.612124,21,45.938419
1.887998,24,46.014005
11.010749,26,46.09833
-2.530244,20,46.164366
-3.83727,10,46.19828
