#{"t_start": 1769353420.3434017, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-1.536815,11,5.820059
1.524991,13,5.862362
-4.482505,11,5.902691
-7.131693,26,5.988564
-5.10306,16,6.040123
-2.7058,15,6.087379
-0.764272,13,6.128815
0.247243,13,6.169868
9.183638,49,6.325491
-2.95698,9,6.354947
6.566836,29,6.448449
-2.5262,10,6.48279
1.007298,22,6.552294
0.276504,10,6.583896
7.199428,26,6.684132
1.042463,47,6.836994
-0.847255,20,6.911247
-6.173201,12,6.98007
-5.756805,13,7.045953
1.25905,13,7.107778
-3.880027,11,7.161166
-2.804666,16,7.238214
-3.07257,18,7.317704
14.544635,31,7.465767
0.500166,18,7.548562
-1.60988,19,7.640002
-3.823527,12,7.724132
-4.245184,13,7.8129
-1.067516,17,7.907553
3.738492,31,8.047381
-5.335634,25,8.154322
6.492446,25,8.259932
3.008811,23,8.361152
1.289816,27,8.492549
-2.306991,19,8.58751
-0.363936,13,8.650321
4.02685,18,8.733285
-3.221428,14,8.812543
-1.865683,10,8.871534
-5.416036,7,8.906792
1.697624,31,9.065809
4.746798,18,9.153717
-4.617773,22,9.246123
-4.698791,13,9.286387
-4.930196,18,9.342798
-5.069809,27,9.42968
-0.132322,15,9.481186
-4.139528,19,9.54092
-4.263787,36,9.653558
2.004965,16,9.703936
2.129437,14,9.75082
3.008229,41,9.881143
2.743808,22,9.964128
-3.293107,17,10.014838
-3.623712,11,10.047832
0.61983,10,10.079762
7.875361,36,10.194103
-0.247722,18,10.251195
-9.353522,16,10.300921
-3.414913,14,10.345827
0.487856,12,10.383641
5.579662,30,10.481573
-3.247925,13,10.525674
-6.496474,11,10.565311
-1.158363,27,10.668826
3.178289,15,10.727507
-3.567918,19,10.798377
0.513384,15,10.84968
-5.659573,20,10.9163
5.805976,36,11.046365
-12.033177,19,11.107879
-5.931626,13,11.149512
-0.427753,13,11.191275
0.498044,14,11.236476
-2.174737,15,11.284825
-2.341761,27,11.369759
2.362372,16,11.421024
-6.702231,19,11.483496
-1.645005,16,11.534713
-9.404616,21,11.602334
-2.40216,20,11.666307
4.926921,22,11.739211
-7.316838,20,11.801645
4.022691,14,11.845117
-2.156655,20,11.9148
-10.172072,30,12.029251
-3.15847,17,12.085219
-5.51572,23,12.160416
-5.35463,11,12.196846
-6.566272,17,12.259516
-2.437071,14,12.301512
4.435155,18,12.357446
-8.19995,14,12.402126
4.345196,20,12.467042
-3.682851,17,12.564909
-1.199031,16,12.633143
-4.413325,22,12.704641
-6.210788,12,12.745183
-2.19295,12,12.783314
0.681592,14,12.843078
-3.724906,27,12.928929
-3.111182,18,12.995696
-8.187571,18,13.062014
-3.294735,11,13.096307
-5.176483,12,13.13391
-5.821744,15,13.182562
-4.173602,22,13.252917
-12.318958,28,13.343512
11.27556,47,25.486596
2.399101,17,25.543318
-1.14863,9,25.571892
8.359682,35,25.68473
-3.482586,9,25.713433
4.246232,19,25.771933
-7.797848,13,25.813943
4.347941,35,25.926312
-5.884724,12,25.968687
14.188255,26,26.053642
8.611924,22,26.125956
1.304861,16,26.178486
13.729172,27,26.266028
16.277239,46,26.411266
1.644036,18,26.484402
-9.938786,15,26.533902
-6.157333,21,26.601732
0.090717,14,26.647073
-0.740456,11,26.683532
-7.18171,24,26.75802
-1.021495,14,26.803035
1.758656,17,26.858603
18.719137,41,26.992928
2.502736,14,27.038996
-1.225851,13,27.082766
-9.196867,15,27.132632
-0.709361,11,27.168371
-1.149263,10,27.200247
-2.663246,10,27.233262
-7.181676,17,27.286891
-0.656783,12,27.324496
-2.144233,17,27.379196
-7.422822,17,27.434421
-2.121041,11,27.478067
5.287247,16,27.542961
20.225787,39,27.673342
6.615406,24,27.754681
19.783257,36,27.876384
-0.970469,14,27.922305
3.475378,20,27.990278
16.725972,35,28.105489
-5.121998,9,28.135792
-1.856493,10,28.169583
-0.087095,18,28.229535
-0.158956,13,28.273013
-0.28992,16,28.324261
3.46962,28,28.411739
-2.883077,21,28.478996
0.617121,14,28.542326
0.67623,19,28.605862
2.549667,28,28.697734
8.584187,31,28.797655
1.40955,19,28.859207
24.556185,43,28.998742
12.383275,35,29.11586
-1.884427,20,29.184286
-6.051045,10,29.218295
-2.360758,16,29.270576
10.880888,33,29.374001
-1.373813,11,29.40764
4.21437,17,29.460583
-3.123051,9,29.491554
-3.563709,34,29.618272
3.256784,23,29.695404
-1.590518,10,29.725399
0.231273,16,29.775107
-3.752282,17,29.829711
15.158984,34,29.938721
10.722988,32,30.041656
-0.75921,10,30.074655
0.265414,12,30.112914
13.491409,37,30.233742
9.786313,49,30.392096
14.398246,26,30.478562
25.767434,35,30.60554
8.895258,21,30.676883
6.223044,18,30.73537
-1.202208,14,30.780453
12.09309,30,30.877436
-3.128934,13,30.918159
-8.336064,15,30.971114
1.375161,17,31.025953
-1.013048,10,31.059609
7.587768,25,31.139796
2.666972,13,31.18337
4.339293,18,31.255958
0.523923,13,31.327555
-1.715737,16,31.408075
-1.756841,22,31.515474
18.097186,51,31.773508
-0.681525,12,31.83372
-0.286103,25,31.970641
5.027741,18,32.056139
2.468349,26,32.189251
-8.805397,19,32.283111
2.603767,17,32.357593
9.390654,23,32.462445
-8.864459,14,32.526215
-1.666701,15,32.595421
24.172162,44,44.869353
30.559736,64,45.193526
6.085404,21,45.31333
2.497941,18,45.40333
1.284256,17,45.490714
3.699877,25,45.624074
6.765366,25,45.72993
10.2082,30,45.824595
46.770347,53,45.999305
-2.836381,11,46.034194
5.017631,31,46.135941
21.233981,32,46.242187
1.350179,24,46.337964
10.589616,22,46.409195
40.128072,84,46.686339
5.211499,36,46.807405
7.220857,23,46.880876
9.552737,27,46.973495
9.79789,36,47.086678
8.552679,27,47.174037
-0.862341,14,47.220898
7.091774,24,47.300881
-5.853036,11,47.343982
-0.423516,38,47.47474
57.987225,64,47.682954
3.121427,18,47.745629
0.030282,15,47.796817
-5.419512,13,47.839699
2.320839,16,47.893996
2.877961,36,48.020266
34.284053,46,48.168448
20.86857,59,48.365355
6.935414,23,48.45241
-1.044545,15,48.501839
15.942453,32,48.601882
23.710279,36,48.723742
0.341145,14,48.771149
13.305059,45,48.916814
7.009504,47,49.068972
4.744042,45,49.211207
-1.809163,10,49.244452
7.744504,38,49.368828
1.811746,63,49.582604
15.099567,46,49.733206
51.04742,80,49.995998
25.38612,47,50.140358
10.000995,20,50.204471
-1.13076,24,50.282856
-3.996813,7,50.306509
1.434532,13,50.347443
1.646141,15,50.393541
35.737177,50,50.567065
27.233255,63,50.780192
-0.066011,14,50.826239
104.454277,94,51.142614
10.637847,26,51.227195
2.950307,19,51.289652
31.7742,57,51.487358
-0.06295,40,51.622019
18.983942,43,51.760668
7.163158,83,63.466984
-0.870887,10,63.502096
23.663246,38,63.623938
24.207524,69,63.855071
-0.085792,12,63.895022
28.335527,49,64.082919
38.605542,50,64.254973
16.882952,32,64.360373
7.682815,29,64.455557
40.559269,78,64.704232
7.597205,21,64.772317
32.195264,63,64.992817
4.176602,17,65.049034
23.543013,67,65.26241
10.899432,23,65.339759
-1.189077,11,65.376402
16.001573,30,65.474455
1.114166,22,65.542673
34.867222,48,65.696508
-1.697074,10,65.728454
7.232667,45,65.874957
21.668113,68,66.117272
12.286591,43,66.257799
95.32181,109,66.607405
22.52102,57,66.790672
11.164619,24,66.865704
7.696559,19,66.925174
2.252847,32,67.045828
204.053256,134,67.475305
0.767278,11,67.512823
31.181006,54,67.693205
36.528414,54,68.000441
7.450281,29,68.145908
25.090909,55,68.395344
18.016563,54,68.634501
9.146138,20,68.733391
6.790549,33,68.879212
-2.009562,12,68.931722
6.693577,31,69.066868
17.060471,55,69.334858
18.077336,31,69.484347
-3.037421,15,69.553604
19.201579,39,69.756819
18.978159,29,69.914874
14.810562,79,70.217731
9.173891,39,70.347216
19.736036,52,70.51601
46.938338,94,82.462366
17.735781,44,82.600473
74.398909,96,82.908666
185.453104,157,83.396524
2.673862,21,83.460386
49.468254,78,83.717393
25.197982,51,83.881015
215.984267,178,84.474028
250.502653,161,85.013251
253.207911,147,85.489773
10.683938,29,85.583456
218.602802,139,86.052948
54.935621,72,86.292206
75.049963,119,86.679838
264.460148,175,87.274972
21.329622,38,87.401757
39.423873,107,87.744492
56.12575,80,88.023412
100.044113,135,88.458154
0.562736,16,88.509683
258.200301,153,89.024527
26.193161,58,100.582854
51.732211,55,100.758642
58.46751,93,101.07382
56.516043,68,101.303371
22.701465,43,101.459122
171.648668,116,101.830095
19.762502,33,101.939459
88.597633,156,102.460591
214.006948,135,102.903538
13.735532,44,103.050844
123.40308,155,103.607823
238.004804,165,104.28248
41.953951,57,104.569014
252.570012,153,105.288832
3.921083,17,105.366675
40.023323,78,105.768736
56.712031,133,106.380008
88.322224,110,106.748676
41.141205,116,107.128948
285.754974,164,107.667476
335.380553,240,119.781362
44.337566,69,120.012411
22.610487,75,120.271516
126.487467,291,121.238426
521.434475,385,122.525424
78.645167,110,122.888228
49.466864,133,123.334863
274.095216,180,123.905575
113.277153,116,124.295789
78.880783,120,124.677354
94.853067,177,125.260566
59.420479,82,125.524271
52.847329,76,125.765758
280.966189,185,137.846337
262.088527,151,138.354966
380.871376,299,139.380238
34.800331,46,139.533644
37.485882,104,139.895311
244.48116,133,140.410728
37.997265,80,140.79346
193.080733,121,141.372798
335.575475,170,142.186892
374.158634,277,143.256222
172.020962,108,143.607602
30.195363,47,143.757307
61.829399,142,144.240627
88.000805,106,144.591072
24.607364,43,144.736553
234.827877,139,145.219436
199.708917,109,157.100275
362.900971,223,157.845773
381.112094,284,158.804839
183.763708,106,159.156271
85.528878,85,159.433599
25.23319,35,159.568216
3.300654,19,159.630166
242.692202,156,160.14687
308.143232,184,160.78117
363.549195,260,161.654418
209.171987,122,162.058697
289.485696,210,162.775128
280.202373,206,163.476928
39.681098,50,163.644747
234.204576,136,175.527473
230.620172,143,176.010611
357.311131,223,176.904452
151.549198,101,177.412823
187.008512,116,177.956924
276.445789,163,178.813346
247.161574,162,179.404739
370.708245,339,180.544285
130.943337,290,181.508797
175.647301,92,181.802604
203.916976,123,182.197077
331.906085,223,194.353507
10.708762,29,194.451621
5.705311,24,194.529743
351.731628,191,195.181651
449.439343,500,196.896228
176.144658,96,197.235153
245.06837,123,197.654568
51.458717,64,197.898128
382.492789,261,198.769994
207.680261,118,199.202885
266.987346,156,199.711621
247.094849,142,200.20809
229.236107,124,200.638173
291.63105,159,201.344053
213.638228,116,213.578782
330.558096,202,214.520121
254.519127,163,215.37665
302.384946,191,216.056186
333.940066,245,216.864361
245.325479,128,217.286278
249.316806,151,217.788707
383.640677,259,218.692054
299.020231,161,219.237018
271.730097,156,219.747708
294.54736,213,220.449965
272.686609,162,232.403833
238.7021,117,232.79382
209.054473,116,233.186023
257.223671,148,233.684503
192.422087,115,234.063963
259.166021,142,234.539248
220.910893,126,234.970976
183.04359,105,235.310722
322.70709,207,236.010185
274.453952,170,236.576315
242.492932,139,237.04379
280.466046,188,237.808883
292.471262,253,238.999376
356.749968,194,251.074493
305.171268,175,251.946822
348.624211,193,252.601777
290.471925,161,253.132378
291.128834,159,253.690062
286.003005,159,254.216991
305.899833,226,255.003131
289.849323,142,255.476476
274.235705,201,256.125153
332.163171,165,256.665018
276.950595,141,257.111523
250.864743,127,257.523863
243.485279,131,257.941282
172.126851,89,269.630474
220.52797,105,269.999676
177.220208,87,270.276882
192.44999,104,270.604434
369.151956,180,271.189581
278.268288,151,271.667961
207.991274,104,272.013754
276.51715,137,272.433582
238.120105,141,272.892507
228.615625,103,273.249292
196.492376,115,273.642628
297.388317,142,274.307845
339.946701,193,275.242275
199.500197,93,275.697882
315.855752,159,276.400761
250.950446,121,276.794307
475.686164,243,288.932128
279.475621,134,289.370858
402.500236,257,290.217252
287.539499,155,290.740209
236.206349,124,291.14671
249.854037,121,291.54488
285.24248,161,292.093842
307.602989,171,292.653403
180.375895,89,292.957293
332.214348,184,293.56086
175.388379,101,293.909436
221.43156,114,294.285329
359.763952,201,294.976282
361.1327,151,306.827388
301.999226,142,307.299886
255.690059,127,307.727468
211.332873,110,308.110794
253.444271,111,308.496716
292.205219,126,308.916315
196.462104,103,309.258704
276.337839,123,309.682489
206.320375,107,310.048505
287.898195,133,310.735901
288.428769,160,311.519239
331.994947,156,312.329749
300.92197,153,312.830983
228.106491,119,313.207962
266.423631,123,313.636997
208.098511,102,314.001245
468.551262,234,326.287072
237.255756,119,326.668398
504.181814,232,327.416632
319.217935,148,327.879686
249.380104,121,328.275994
283.401583,148,328.741858
304.847531,155,329.245985
303.870812,137,329.682762
369.586014,168,330.228564
322.455705,172,330.790985
327.640081,156,331.31263
247.930543,135,331.771246
344.727811,203,343.883496
347.93996,155,344.370659
249.520918,122,344.761754
217.44197,118,345.12705
-2.419922,11,345.162534
296.584957,139,345.614863
434.95306,199,346.325313
298.417044,125,346.964428
308.214839,177,347.790338
353.47326,163,348.629426
337.174145,162,349.186814
341.250157,149,349.67023
305.859847,162,350.205084
319.907899,132,350.631932
330.926573,131,351.07702
314.434005,143,362.924616
272.906125,123,363.320943
225.135143,119,363.718794
325.017743,137,364.164466
327.038926,156,364.674854
429.169767,184,365.271538
321.400311,144,365.806665
341.069257,156,366.339933
318.301052,143,366.850946
320.133023,134,367.364616
433.844939,204,368.127559
307.950026,136,368.58727
403.310858,168,369.255075
400.652047,191,381.512959
297.039082,122,381.926799
282.263187,127,382.370877
294.623936,120,382.879155
233.270765,109,383.458527
358.158666,155,384.208176
403.96131,197,385.20712
353.373534,155,385.732173
288.905749,127,386.141056
363.256187,174,386.722396
342.990111,140,387.184057
295.36976,136,387.634836
337.761216,164,388.171741
366.370915,146,388.656263
290.514794,127,389.090737
314.462129,130,401.231218
383.612497,162,401.751825
377.264941,163,402.299282
276.103905,133,402.73499
349.264206,155,403.24561
410.04851,173,403.792803
341.309633,139,404.252576
343.506743,158,404.757909
445.297297,207,405.451679
276.054394,119,405.847904
327.746802,134,406.34376
331.132219,139,406.810735
279.31306,152,407.487799
312.955435,129,419.355457
379.334813,182,420.249072
375.784572,184,421.16231
333.960006,145,421.792932
426.817094,199,422.457534
309.832318,130,422.906213
296.727734,135,423.349552
287.96651,122,423.74186
391.725153,169,424.314001
317.366938,136,424.757618
423.697473,171,425.341164
367.875964,159,425.857084
359.327667,148,426.35958
313.099729,123,426.754985
374.574266,173,438.884076
354.83101,148,439.424358
249.081272,99,439.750798
331.558726,135,440.204319
373.45842,152,440.732664
399.380087,161,441.27503
370.398826,155,441.805572
419.403984,161,442.360571
338.461976,123,442.797883
415.006647,159,443.345355
316.998369,128,443.94325
327.377512,133,444.578035
350.808262,139,445.267241
466.458494,155,445.9874
343.192851,140,458.120996
310.897931,136,458.609082
350.867868,146,459.122504
421.828474,190,459.742446
362.704637,136,460.195932
396.558275,157,460.708094
298.393278,117,461.083915
382.819021,141,461.549218
344.527086,135,461.973761
378.430481,141,462.435218
391.997033,159,462.947279
321.045993,144,463.41947
303.042444,123,463.805161
432.384442,157,464.320817
386.309693,158,476.469398
470.308586,189,477.085035
361.053152,147,477.555574
422.866784,183,478.149458
325.53309,125,478.559903
383.286952,152,479.075889
439.457813,156,479.587898
320.005579,133,480.100002
345.204233,133,480.753293
371.504696,139,481.409878
440.821933,168,482.31376
332.019012,137,482.805175
256.458048,108,483.152455
315.554494,123,483.570853
408.403633,151,495.526203
308.791058,130,495.956383
319.882059,139,496.426437
302.536033,132,496.873007
389.920385,155,497.419949
350.948415,137,497.876681
278.000552,119,498.26034
356.88628,150,498.742114
364.92957,151,499.248819
204.398983,99,499.569745
437.599186,156,500.088433
355.0513,143,500.561467
414.967269,153,501.078234
343.68919,139,501.5305
330.840504,135,501.99557
407.986262,152,514.040522
304.463608,130,514.506838
425.530778,150,515.006332
375.891625,135,515.468191
244.094473,112,515.835569
424.570811,157,516.369544
507.713157,186,517.295986
441.207557,149,518.051129
357.5521,130,518.728669
395.558097,145,519.203705
440.610527,164,519.768274
334.152979,134,520.212043
301.689036,124,520.62557
347.387735,129,521.056315
351.674078,129,532.971921
322.073166,122,533.379377
368.955688,146,533.859279
413.453446,152,534.36982
462.915457,170,534.954951
398.459797,158,535.491755
450.023198,159,535.995756
387.964932,148,536.479105
491.634481,163,536.990064
467.396775,161,537.507581
419.295961,148,537.970685
431.081173,150,538.448769
365.673566,142,538.897731
367.395308,135,539.319318
446.138957,153,551.298104
475.979495,173,551.871568
472.122883,161,552.407344
324.962619,131,552.939728
415.169317,152,553.655054
364.599419,138,554.285917
371.473811,140,555.022312
381.994676,148,555.536221
425.382457,159,556.068817
347.662599,126,556.51298
416.790066,141,557.004997
383.933347,138,557.475398
421.970174,152,558.007765
437.522683,160,558.542303
427.8445,150,570.457952
403.157071,150,570.980562
