#{"t_start": 1769416271.2706602, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-3.460215,11,1.323581
-9.57703,13,1.354395
4.139865,19,1.400826
-2.087597,15,1.435843
-3.620941,18,1.477663
6.818391,24,1.532077
0.440605,15,1.581499
-6.253309,13,1.613957
3.034395,24,1.669798
-4.139869,16,1.706686
2.294269,15,1.741913
-1.63374,21,1.789012
0.934358,13,1.820069
-3.540814,9,1.840042
-9.101665,13,1.870195
-10.010375,13,1.899545
-1.922027,10,1.922142
0.205272,19,1.966468
-4.862085,11,1.991911
16.321288,27,2.053681
-0.254144,20,2.098841
-4.108323,13,2.127417
-5.007806,19,2.170192
0.117633,13,2.200103
0.794435,22,2.248765
-1.01005,19,2.290562
-1.758605,13,2.319349
0.786729,12,2.348163
5.12281,19,2.391377
3.564577,13,2.420178
-7.08939,11,2.445729
5.43081,19,2.489817
-0.984407,12,2.518684
12.541267,33,2.613467
-0.742901,13,2.644881
9.360917,27,2.711185
-0.777508,13,2.741131
-5.375885,11,2.76527
-2.369451,13,2.794153
9.144298,27,2.85473
-7.084788,16,2.891306
0.499107,29,2.959736
-8.687169,12,2.98675
-3.47949,23,3.037475
-2.625809,18,3.082256
-4.149899,15,3.127858
-2.279477,9,3.14745
-2.869268,23,3.241371
-8.700964,11,3.272862
-5.222359,11,3.298307
-2.898509,9,3.319002
1.36563,21,3.367668
-0.066361,28,3.45506
-0.916233,12,3.496939
1.761103,14,3.532889
10.029601,23,3.588227
-4.468281,9,3.612424
1.071528,20,3.67558
-2.508879,11,3.707934
-3.477253,11,3.740322
2.065343,32,3.814799
-0.982428,27,3.874716
-4.614526,22,3.926147
-3.083125,14,3.967111
6.459146,37,4.083014
-1.622675,12,4.122525
-3.810441,8,4.146675
-0.605243,12,4.180045
5.516873,27,4.305769
-8.266332,23,4.369112
-2.664916,13,4.404784
1.807721,15,4.444118
-1.801833,11,4.474371
-5.052018,20,4.524076
3.204671,22,4.575356
-0.961909,12,4.603825
-3.091334,18,4.644154
2.374123,33,4.722835
-1.092811,21,4.771572
-4.875048,24,4.828376
-0.572165,15,4.864994
-5.17176,10,4.893687
0.993672,14,4.94191
-0.586031,23,5.011059
-1.429547,14,5.051512
4.487682,20,5.108036
2.302869,21,5.173207
-2.807773,9,5.195257
0.214093,21,5.244205
-6.626055,17,5.283319
7.289212,30,5.358921
1.156466,17,5.413373
1.743428,17,5.455145
-0.68876,16,5.491908
-7.359059,11,5.517444
-7.178064,10,5.540794
1.157828,13,5.579604
2.154596,30,5.684933
-8.66463,28,5.775284
-2.659623,22,5.830688
3.868513,16,5.879231
-4.633348,26,5.952186
-1.219506,27,6.018272
-2.902419,11,6.043193
2.367433,28,6.106511
-3.717222,24,6.16383
-0.592365,18,6.210817
-9.728888,20,6.26968
-1.922318,13,6.311494
-2.359226,23,6.377441
-2.712046,10,6.403698
-1.003133,10,6.427456
7.815435,22,6.484883
9.881119,22,6.54557
20.543168,36,19.243417
-2.686507,25,19.304462
6.895454,20,19.365748
1.098355,27,19.452111
2.43015,19,19.506824
6.026564,16,19.544346
4.168136,23,19.595397
4.430283,21,19.641147
0.915395,13,19.670267
8.27918,20,19.715721
-0.796944,21,19.76509
5.456292,22,19.813714
-1.060037,33,19.888121
-0.315003,15,19.920963
-2.325603,28,19.983095
13.279909,31,20.051365
7.067751,33,20.125087
3.742927,15,20.158374
9.471189,33,20.232098
-2.880797,10,20.255234
6.361644,35,20.330929
0.765407,21,20.377898
34.568849,50,20.490609
-0.798658,11,20.51549
3.925304,22,20.564964
2.031609,44,20.661843
2.61597,30,20.729752
-7.152014,13,20.759853
5.214719,23,20.81092
-7.959951,11,20.835308
7.00072,23,20.886451
-0.035543,17,20.923443
-6.962574,26,20.981035
-1.178445,23,21.032271
-2.408328,12,21.059018
-3.65404,45,21.15874
16.147268,50,21.281417
-4.117409,19,21.342339
7.904118,19,21.385484
-1.591708,38,21.476207
-2.348145,16,21.526843
-3.263096,26,21.588905
-3.914574,9,21.609632
-9.234863,22,21.658333
-0.280387,16,21.694504
0.629727,22,21.750298
0.135131,12,21.777099
20.441502,59,21.909241
-1.690069,9,21.929388
-3.305253,9,21.949836
10.073775,28,22.014131
3.173603,14,22.04499
3.306345,36,22.123353
-0.916419,12,22.149456
1.655243,23,22.200252
6.46593,23,22.251333
-3.792554,10,22.274033
1.411591,33,22.347643
-4.269823,26,22.405768
9.33191,50,22.517981
6.785576,34,22.593515
-3.066384,30,22.659257
