#{"t_start": 1769416271.2818017, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-3.784016,7,1.302118
8.605897,28,1.370455
-0.904131,28,1.437074
-0.999889,18,1.478451
-4.363399,9,1.498999
-1.255235,16,1.537975
-5.852192,10,1.574436
4.815642,20,1.621891
10.744699,36,1.705571
-1.764858,28,1.768866
-2.738135,11,1.795232
0.356782,27,1.857043
-1.284896,9,1.877454
-9.990117,15,1.911439
-9.253214,18,1.953117
2.930663,22,2.003306
-6.53535,22,2.054374
-8.391674,24,2.107981
-4.768545,14,2.139537
-8.449319,32,2.210918
-1.736121,20,2.255584
-3.350034,22,2.303946
-10.990613,20,2.350715
-9.41614,17,2.389549
1.323725,13,2.418345
-3.283307,8,2.437379
2.052478,23,2.492383
-3.856116,28,2.574125
-6.271804,20,2.622435
-6.659275,18,2.665522
-5.495212,12,2.695497
1.442122,15,2.730458
0.119662,10,2.752156
0.421388,24,2.805309
-5.71626,15,2.839342
-3.791718,18,2.880639
-5.804449,9,2.903004
5.554538,20,2.949175
-1.173134,17,2.987724
17.287527,41,3.092467
-0.925788,17,3.132242
3.033645,30,3.246727
-3.716052,8,3.266594
-4.504858,12,3.294228
-0.640248,13,3.3244
0.821363,17,3.363737
-1.181631,26,3.449988
-0.241504,13,3.492517
2.765302,17,3.533753
7.642878,21,3.584121
-4.487213,8,3.610157
-2.798699,18,3.664965
2.851096,15,3.710241
-0.375086,14,3.746571
-2.472235,9,3.767929
5.610962,17,3.806368
16.394383,35,3.884608
-6.131492,11,3.910906
-4.337925,17,3.959968
-3.79784,9,3.987218
6.628745,23,4.059757
-2.715404,10,4.093467
-3.102218,16,4.142477
-3.857144,11,4.17264
-5.769327,10,4.240903
1.212987,16,4.295116
3.721445,24,4.361027
-7.085245,15,4.401604
5.221811,22,4.46089
2.40174,16,4.50112
3.218176,32,4.576491
5.085109,17,4.615435
-5.139859,18,4.657619
-1.363876,19,4.702323
0.517087,18,4.745098
-4.312623,10,4.767657
4.10359,19,4.813
-1.081308,20,4.863857
1.310499,13,4.899601
6.802172,19,4.964151
-4.851851,10,4.993807
1.237641,22,5.059869
-4.674706,10,5.086397
5.395787,22,5.154784
-3.814654,13,5.187184
-1.204776,26,5.247647
-1.839905,13,5.277347
-2.878859,17,5.3167
3.913522,24,5.393367
-1.496949,14,5.427749
1.458378,17,5.467241
-1.706799,13,5.497755
47.973878,65,5.702293
-4.468703,22,5.769794
1.608395,16,5.810377
0.368406,14,5.85084
-7.321255,9,5.877325
