#{"t_start": 1769416271.2646146, "env_id": "CustomWalker2d-source-v0"}
r,l,t
9.598556,26,1.364805
-2.268039,8,1.384239
-2.187347,17,1.425316
-5.652968,13,1.45672
-7.419164,11,1.481198
-4.7063,8,1.499726
-7.616792,19,1.542313
-9.580817,13,1.587103
-1.095087,16,1.626834
2.29133,14,1.658921
-3.641026,13,1.689328
4.633644,25,1.747679
-2.127227,11,1.77252
2.518969,14,1.804804
-13.006715,19,1.848316
2.322273,15,1.882844
2.122577,17,1.921438
-6.771923,9,1.941836
-2.498247,24,1.997647
-6.020202,13,2.027068
-3.555875,15,2.061931
-0.5816,13,2.091583
-1.321503,11,2.115744
1.70628,14,2.147299
2.578473,21,2.194338
-7.647319,22,2.243366
10.756456,34,2.318319
-2.287763,14,2.351596
-2.52843,18,2.391769
-1.306107,10,2.415068
-2.158213,25,2.472604
-0.621535,12,2.500592
-2.819347,22,2.557449
-0.228668,17,2.610235
-3.124194,20,2.658741
-3.870311,10,2.682048
-2.496903,19,2.728627
-2.260969,22,2.777912
3.030564,28,2.840024
1.404669,15,2.873986
-1.059457,22,2.926761
-8.288534,18,2.968185
-4.781915,14,2.999692
-4.143157,8,3.017116
-1.564799,24,3.06991
-4.220216,12,3.112806
-0.145184,11,3.138156
-2.087671,8,3.155558
2.486431,22,3.247025
-6.558367,18,3.29502
4.053222,30,3.364298
-4.305587,18,3.411498
-3.973466,18,3.476619
-3.396415,19,3.531504
-0.113326,13,3.561611
-4.856739,10,3.584976
1.901745,13,3.623196
4.315462,15,3.669915
1.717607,22,3.735332
-2.956399,21,3.787231
-4.03882,12,3.813983
3.17902,22,3.863196
2.614954,20,3.908935
-11.587182,21,3.962326
-4.849531,12,4.000745
-0.511275,11,4.035298
4.004733,22,4.105372
-7.456796,16,4.155687
-10.876025,19,4.213853
5.082279,19,4.311445
-1.610302,12,4.345265
-2.286481,16,4.38827
-5.033303,21,4.444738
6.17003,24,4.508867
2.617736,15,4.544244
2.246533,20,4.590919
2.308603,18,4.632072
-9.090851,23,4.685235
-2.762275,16,4.724393
0.295103,13,4.755021
-4.610697,13,4.784205
17.388913,46,4.899407
-5.406658,20,4.965261
-2.026915,16,5.013556
-4.239091,12,5.048671
-3.775565,14,5.090859
1.836658,27,5.171282
2.584217,16,5.212282
-2.536401,9,5.232376
1.496464,11,5.257809
4.876739,18,5.298475
