#{"t_start": 1769416271.2462873, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-4.98251,15,1.356893
-6.170495,16,1.394466
-7.154009,12,1.424188
-6.501634,8,1.44307
-2.020324,10,1.466563
8.825837,34,1.54478
-7.779177,19,1.601694
-0.049779,25,1.663262
0.46381,17,1.70233
3.646218,20,1.749021
-5.310155,12,1.776874
-8.256283,22,1.827538
-4.647868,10,1.850464
1.320163,18,1.891255
-4.692844,29,1.957374
0.971989,16,1.994584
-3.818761,12,2.022846
-4.219036,11,2.047213
3.100931,13,2.076874
-6.259388,25,2.133476
-5.627091,10,2.155967
0.291658,19,2.198492
-5.767091,10,2.221409
-5.178371,12,2.247679
-0.303224,14,2.279053
2.243133,14,2.309818
-9.596102,16,2.345387
2.037634,20,2.392078
-3.143048,10,2.414752
-3.92409,13,2.44362
0.845022,24,2.499361
-4.57714,13,2.531513
-4.101139,12,2.560089
-2.376924,11,2.596471
4.306271,16,2.639847
15.501111,30,2.711864
-3.60159,8,2.732521
-2.98292,10,2.755604
-4.459377,10,2.778276
-1.002114,12,2.804523
-3.781278,11,2.829026
-5.444356,18,2.868914
4.800199,15,2.902516
-1.440495,9,2.924955
6.087333,15,2.961997
-5.133168,23,3.012738
-0.421261,16,3.047532
-1.772245,9,3.067913
-6.180325,11,3.092433
-4.777109,9,3.126049
6.250927,23,3.182427
-1.205224,24,3.281018
18.342807,34,3.361263
-12.178215,15,3.395796
0.539434,19,3.454294
-2.448724,19,3.520339
-11.748364,15,3.558917
-5.028273,9,3.579326
0.468014,24,3.64396
0.742052,13,3.684716
-0.682685,16,3.731474
1.313507,17,3.778185
-3.929536,9,3.800309
-3.58914,18,3.840816
-0.025516,37,3.924205
1.266303,23,3.982715
11.317564,25,4.06306
-0.486102,16,4.113025
-7.640496,15,4.16243
0.720678,16,4.206638
11.276133,29,4.337214
-2.647444,19,4.389626
-2.884635,24,4.453259
0.27407,17,4.500444
-3.017777,12,4.531286
-9.037374,17,4.570988
6.349708,21,4.619874
-2.7906,13,4.649837
8.006797,27,4.712451
-4.855958,12,4.74214
-2.069389,13,4.772737
5.402787,24,4.828289
-3.650763,7,4.845228
-4.154798,19,4.891674
-1.443446,23,4.965311
-2.216409,16,5.013297
1.109756,12,5.048796
-0.929187,37,5.157437
-3.631814,12,5.194559
-3.984656,8,5.214393
-0.513018,23,5.267829
-2.74572,14,5.300008
-3.262067,23,5.353594
-2.974316,20,5.420135
-0.444685,21,5.471858
-14.358726,17,5.511042
0.462381,24,5.567399
-5.06727,10,5.59418
-7.174255,22,5.671877
-11.07441,20,5.746994
-2.04029,24,5.814444
1.584381,13,5.8473
16.60593,50,5.989623
-1.693684,33,6.066765
-2.559397,11,6.091863
-3.158198,11,6.116571
-0.181623,23,6.171047
-2.143452,18,6.216149
-8.274583,20,6.271705
-6.554007,25,6.350328
-3.599959,9,6.376282
