#{"t_start": 1768503097.9888098, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-6.771759,8,3.233377
-11.726542,19,3.302541
-4.146791,10,3.334365
-4.731079,20,3.397684
-7.432235,25,3.488569
-10.405775,36,3.627049
-3.350261,10,3.664371
0.837604,18,3.743726
4.153523,20,3.828776
-12.954596,11,3.877013
-7.36367,9,3.916745
-0.442281,14,4.016133
-8.962682,17,4.096737
-9.373894,19,4.27544
-9.944779,21,4.356887
5.406257,30,4.500425
3.523367,16,4.563739
7.861392,32,4.700846
4.753827,18,4.775416
-3.237007,37,4.932892
-2.332716,10,4.977696
-1.728453,11,5.024277
-13.095772,19,5.101756
-5.783045,8,5.143285
-12.862383,24,5.246714
-7.748622,25,5.347862
3.428211,28,5.449248
-8.968356,20,5.538757
-5.105339,10,5.571087
-4.555529,11,5.626522
-1.321111,14,5.67387
-7.914226,14,5.727983
-0.425399,21,5.831237
-4.243517,33,5.995281
-10.607697,11,6.047848
-8.495651,17,6.127372
-14.332326,16,6.19926
-3.721445,19,6.270852
-7.220312,9,6.302118
-7.289783,11,6.349808
-0.599064,13,6.39736
20.691963,52,6.624507
13.268662,44,6.838278
-6.94714,14,6.887663
-8.496998,15,6.954556
-5.254695,12,6.987674
1.600005,25,7.087581
-5.357998,9,7.137027
3.522789,24,7.221307
-0.163972,18,7.298044
-1.148293,15,7.352196
-10.293737,15,7.399719
-3.699324,28,7.495485
-3.020781,11,7.542688
-10.121303,13,7.590144
-12.320014,38,7.742725
9.564062,26,7.843882
4.252729,26,7.931713
2.990421,20,8.010791
6.718614,19,8.094138
1.536777,26,8.187404
-8.228684,15,8.265427
-12.215997,17,8.319985
-2.256358,14,8.385091
-1.363669,21,8.460287
-11.869161,13,8.506074
-10.427854,18,8.567448
-8.690926,10,8.60115
-3.498417,17,8.653929
-5.694019,8,8.687247
-3.847918,23,8.772474
-3.824419,8,8.815262
-6.388068,16,8.872278
-3.764748,18,8.955607
-2.360588,15,9.021555
-6.558809,33,9.163878
3.841085,28,9.264882
-9.196359,20,9.355528
14.61037,46,9.540516
-6.722967,14,9.594921
-6.785324,13,9.644237
-4.356025,44,9.821064
4.196784,16,9.888935
-7.509856,26,9.99052
-15.631227,15,10.045799
-8.801638,19,10.116624
0.980184,36,10.254748
-0.798143,15,10.301323
2.918277,27,10.416383
-8.081205,21,10.501982
-5.701369,14,10.543513
50.97093,50,10.732939
-14.825611,18,10.796014
-9.315099,13,10.843436
-0.381269,12,10.890124
1.487388,38,11.01217
-4.437468,9,11.043535
-14.332824,17,11.106836
-8.315308,18,11.170057
-3.18816,10,11.202216
-11.139007,27,11.296984
-1.092127,11,11.328521
-3.622731,9,11.360175
14.295111,37,21.200787
-1.156885,17,21.282913
14.068117,41,21.467354
-1.816759,18,21.547761
-5.621657,27,21.673102
8.809483,25,21.786038
-2.929154,10,21.829026
-6.526742,9,21.867818
0.132827,30,22.003338
-5.504588,16,22.078091
5.274292,16,22.127114
43.340172,78,22.504885
16.218486,49,22.671408
-7.099824,29,22.810807
2.014752,35,22.937705
-7.412359,12,22.97893
-7.481848,15,23.052401
22.758571,52,23.273604
6.161252,33,23.412138
-3.68555,19,23.505911
-3.568918,16,23.57712
1.54845,20,23.674203
-3.676706,9,23.713395
-2.366541,14,23.778404
-9.351131,17,23.849896
1.188219,17,23.910799
29.315719,61,24.163486
-1.682881,20,24.256943
-1.929207,12,24.319308
-2.153328,26,24.435922
-4.782699,9,24.461637
-0.593052,31,24.587711
-2.085991,13,24.635618
-2.375797,18,24.706033
2.660574,26,24.813008
-3.837663,9,24.844389
-3.135457,10,24.876025
-1.761286,31,25.009102
4.777415,26,25.123664
18.924671,51,25.33768
1.914244,15,25.409373
-0.26456,17,25.486403
12.185892,25,25.584821
-2.762374,28,25.708304
0.073155,16,25.774796
8.87226,31,25.890641
-3.951556,27,26.01202
-4.954669,49,26.206828
3.162252,22,26.296297
-4.59347,11,26.327668
-0.087699,28,26.432624
4.962418,34,26.545115
3.953401,43,26.71934
0.419025,13,26.779404
3.954182,34,26.92571
-2.069143,15,26.993801
15.228992,41,27.172553
1.419025,16,27.239582
7.162047,26,27.350811
-2.099187,25,27.455497
2.00159,29,27.572912
-2.513345,11,27.611575
0.056808,17,27.692547
-1.378082,25,27.794697
-2.02959,14,27.84182
-1.82228,10,27.87382
-7.707467,13,27.908048
5.793772,21,27.984442
5.506116,28,28.106838
-0.518931,14,28.160224
-1.328389,18,28.24438
-2.722188,14,28.309922
3.085436,22,28.391695
5.192448,18,28.46573
-1.630999,22,28.541663
3.379341,18,28.589301
-5.512635,8,28.633206
4.690024,45,28.821304
-7.289029,9,28.862041
-2.610506,9,28.901026
-3.407555,26,29.10443
-6.587842,13,29.167405
-2.738855,24,29.269035
-2.704737,11,29.309568
9.287281,22,29.406054
-4.336756,18,29.482996
14.51437,45,29.662819
13.409487,29,29.764847
-0.361425,39,39.49535
-1.233683,18,39.558554
5.956128,23,39.653541
-7.37939,41,39.822449
8.51075,38,39.969982
-8.942985,10,40.003451
8.580963,35,40.13681
0.909021,37,40.293063
6.950583,49,40.498296
9.552274,24,40.601218
-5.529289,15,40.65443
-3.625381,9,40.686114
4.500263,36,40.814134
18.152897,63,41.063222
-6.686618,27,41.171767
-4.059101,12,41.203402
8.820109,48,41.404211
0.076591,20,41.483006
-6.674402,15,41.547871
12.312553,33,41.686379
-1.756174,15,41.740276
-4.423315,12,41.786712
3.575093,33,41.906277
-1.280209,11,41.938023
-8.647407,54,42.127914
-2.224925,13,42.175809
96.671814,94,42.553078
-2.866826,39,42.715078
9.010767,42,42.884306
37.437073,81,43.22014
-1.502501,17,43.289021
-3.617652,39,43.415272
21.420268,36,43.536408
-4.451176,40,43.694831
6.453204,18,43.77683
15.319894,58,44.020054
23.700168,62,44.2687
-1.527666,52,44.462549
2.726274,18,44.539034
-3.404054,18,44.602012
-1.945446,21,44.696514
21.2832,40,44.859842
8.449789,22,44.946608
-1.321378,22,45.044657
13.556005,46,45.212466
25.995277,42,45.382876
154.34995,118,45.875457
43.562438,51,46.059491
2.655538,19,46.156051
63.901729,83,46.504754
5.551192,21,46.593577
-3.351604,14,46.650984
8.285994,45,46.826536
-3.648999,13,46.882591
4.658247,31,47.012731
6.097417,16,47.072429
0.113954,30,47.202244
60.950956,69,47.477627
-4.157518,13,56.677531
39.952215,67,57.02265
12.62562,29,57.135193
15.489281,35,57.285655
3.431804,36,57.443974
66.396635,72,57.730146
10.214106,33,57.863095
11.422149,29,57.973857
8.870427,26,58.084922
-9.364629,44,58.237946
32.208611,110,58.648695
11.476808,30,58.787067
15.463283,62,59.039369
9.746468,33,59.171749
15.496922,43,59.352283
22.872191,42,59.52606
2.48437,19,59.590969
15.624967,59,59.798673
8.677891,22,59.884339
-1.631821,11,59.915316
26.608521,90,60.268537
42.526404,109,60.668262
23.718857,63,60.90997
0.779296,26,61.028228
50.883598,66,61.274431
7.531018,22,61.36024
7.073488,37,61.513947
1.659315,18,61.576809
25.731961,35,61.731065
42.7334,72,62.031118
1.420693,18,62.106667
8.687312,54,62.312604
23.295229,59,62.564186
-2.484669,10,62.595825
0.406412,19,62.684591
-3.352043,28,62.780768
0.545536,19,62.859655
-1.835875,58,63.113011
-1.276201,12,63.160542
-1.618051,11,63.192215
10.604738,35,63.343945
3.724348,27,63.444185
15.461282,38,63.583906
0.150078,15,63.635537
9.084346,20,63.708629
10.557269,33,63.844565
9.790868,26,63.94452
1.560319,14,64.00271
-5.147764,47,64.16356
20.716384,39,64.312523
-4.152461,9,64.345082
37.110316,75,64.597137
18.456509,47,73.903798
65.957516,78,74.225987
-1.631834,16,74.308357
1.795565,40,74.457607
18.409211,45,74.623298
-18.318051,133,75.16744
20.241316,32,75.29216
40.480726,77,75.544751
3.401277,25,75.639516
-0.900048,17,75.702622
21.585166,89,76.084979
6.207479,19,76.163312
58.512348,111,76.555501
68.712339,95,76.938099
18.496644,54,77.160505
28.463049,89,77.500667
16.250709,35,77.642106
15.220681,96,78.019085
-10.225914,13,78.066865
143.905949,169,78.710937
43.395623,122,79.190027
-2.25078,49,79.384896
-21.875414,129,79.933846
21.811914,35,80.058321
8.937261,50,80.278999
43.346367,100,80.684602
-0.841662,17,80.756854
42.549967,54,80.963627
6.911939,105,81.385405
222.630901,150,90.732304
258.359207,185,91.443482
189.457943,272,92.443041
29.421706,104,92.816753
70.511647,126,93.3452
250.942586,174,94.107337
8.129049,108,94.556464
46.909186,70,94.857847
29.655875,47,95.062879
27.065399,41,95.225406
9.764646,23,95.300349
23.322386,80,95.575463
62.76454,151,96.108074
