#{"t_start": 1768503097.997017, "env_id": "CustomWalker2d-source-v0"}
r,l,t
1.606443,16,3.254846
3.522189,15,3.310407
-2.525221,11,3.341834
2.334398,25,3.4214
4.966443,20,3.49625
-5.751332,17,3.565222
2.139784,27,3.671945
-2.213064,23,3.769238
-6.853488,24,3.873359
-3.349675,11,3.922521
5.357037,43,4.239202
-14.966029,40,4.420963
-0.386296,11,4.475873
-7.110585,17,4.542298
-6.295142,9,4.584162
-7.312681,8,4.619806
-0.898065,13,4.67228
-2.122588,14,4.727553
-9.277577,13,4.784672
-3.833629,12,4.835123
-8.46139,22,4.929684
-3.056474,11,4.980719
-8.521151,12,5.028031
-3.822665,9,5.063764
-6.341836,11,5.117079
-1.705784,19,5.199455
-4.024451,28,5.315379
-0.233667,15,5.374786
7.812725,28,5.478261
-7.481298,24,5.58267
-8.110584,8,5.618315
-4.183347,21,5.688962
-0.43377,16,5.768048
-7.920319,23,5.874645
-6.627033,13,5.939085
-3.42443,12,6.001939
-1.208048,12,6.058146
-7.927143,14,6.124866
-6.938742,16,6.195942
-11.941222,18,6.262645
-5.805022,26,6.357403
-7.766824,24,6.452507
3.227871,30,6.591367
-2.883562,26,6.719408
-8.957186,7,6.746507
-12.118314,29,6.879456
0.508062,35,7.012686
4.563434,23,7.112854
-3.645354,11,7.145991
-7.071245,22,7.230253
-0.050692,20,7.311857
-10.424391,25,7.391511
-10.657996,9,7.423162
-3.893341,12,7.471157
-6.942127,12,7.518788
-1.727374,16,7.577807
-5.079961,14,7.635141
3.010356,22,7.722887
2.47215,32,7.84522
-5.297959,22,7.907658
2.457309,18,7.988713
-7.792379,22,8.085931
-2.099956,21,8.171229
1.374383,34,8.309466
-5.307933,11,8.355257
4.568051,28,8.455849
-11.106587,11,8.493839
-2.838974,18,8.555213
-6.831047,19,8.620601
0.43472,36,8.762358
-4.368733,13,8.812507
-4.982869,23,8.897393
-8.056584,9,8.942946
-6.776807,12,8.997015
-2.31994,18,9.064094
1.759154,16,9.143102
-13.9202,22,9.229118
-10.509385,21,9.30772
-9.305058,8,9.347321
-3.35733,10,9.390623
-6.985106,8,9.428623
-2.690268,21,9.505894
-9.1356,23,9.594479
-1.806193,15,9.653927
-4.220678,9,9.694412
-5.145325,14,9.754676
-0.035374,18,9.812857
-4.134164,21,9.906053
-2.771767,9,9.9404
-4.22783,14,9.993598
