#{"t_start": 1768503098.035069, "env_id": "CustomWalker2d-source-v0"}
r,l,t
4.778266,22,3.240356
-3.702369,18,3.303782
-11.219161,43,3.442309
-2.282273,11,3.489819
-9.715359,18,3.563007
-10.299436,15,3.614357
-6.923901,13,3.673829
-4.912154,15,3.736736
-0.923198,17,3.810679
-6.396428,20,3.920515
-3.969553,21,4.025991
-3.86801,9,4.079446
-6.374864,21,4.261984
-4.745494,16,4.327751
-4.006239,15,4.401678
1.669099,23,4.492661
-1.547212,19,4.577748
-14.304901,18,4.6514
-3.616379,19,4.731156
-2.182351,17,4.80407
-13.053715,33,4.948423
-8.711318,9,4.982827
7.235375,25,5.094028
-11.732191,20,5.174989
-7.270838,10,5.220308
-3.751696,13,5.270354
1.714717,18,5.341288
-11.670098,18,5.408747
-4.060987,15,5.476819
5.790195,57,5.702964
-9.120412,16,5.782359
-3.619708,11,5.833008
-8.371248,9,5.878708
-1.38594,21,5.982852
2.648245,18,6.067763
1.43266,19,6.154999
-1.356998,13,6.209107
-5.49874,19,6.271702
-7.559874,9,6.303549
-6.203565,14,6.365187
-3.919642,13,6.410688
-0.672417,29,6.545071
-7.823542,17,6.631497
-2.130385,10,6.677322
-2.442674,12,6.725596
5.903606,22,6.825036
-3.089297,33,6.958313
-8.63993,15,7.007948
3.170888,21,7.106725
-4.746067,14,7.157901
12.278461,35,7.289904
-0.411913,16,7.339425
11.949997,34,7.464922
-9.531854,21,7.543885
-1.247882,14,7.603118
-1.998164,14,7.658432
-6.618763,14,7.714398
-0.779565,15,7.774811
-6.397504,28,7.869606
1.236931,16,7.917274
-6.762998,22,8.024256
17.472463,43,8.200899
-8.095161,23,8.289306
-1.094049,17,8.358459
2.384196,32,8.471635
-5.855021,8,8.499301
-10.22909,22,8.574497
-1.646898,11,8.60767
-7.195203,20,8.690694
-2.624312,13,8.741008
3.374898,21,8.826019
2.760082,23,8.924445
-6.43148,54,9.155463
10.839946,38,9.306514
-7.199505,8,9.341635
-9.217176,13,9.399431
-3.942776,16,9.458289
-1.622046,12,9.503411
-5.186635,19,9.576181
-12.032249,26,9.686803
-4.838711,14,9.745492
-5.9232,9,9.774805
-2.15204,18,9.848536
-2.381298,23,9.938064
-3.074896,12,9.982491
-1.505138,13,10.03161
-1.822296,19,10.103439
-11.948459,16,10.168227
-9.467846,11,10.204608
-11.235657,20,10.28668
-13.052304,21,10.370124
-5.035917,7,10.386102
-5.280741,10,10.433563
-9.213492,17,10.497253
-5.461938,19,10.576293
-4.275048,16,10.623557
-4.282502,16,10.670996
13.809861,40,10.812928
-4.74118,24,10.902117
-15.245408,20,10.981603
-12.796878,24,11.060577
-10.034442,15,11.108104
-9.709912,15,11.155957
-2.692209,15,11.203485
4.647494,18,11.266524
-6.963061,10,11.313916
-11.281576,17,11.372529
-7.587199,13,11.404271
10.126267,28,21.238298
